FIPS,COUNTY_NAME,VALUE
27001,AITKIN,54
27003,ANOKA,24
27005,BECKER,25
27007,BELTRAMI,32
27009,BENTON,24
27011,BIG STONE,19
27013,BLUE EARTH,17
27015,BROWN,22
27017,CARLTON,33
27019,CARVER,21
27021,CASS,84
27025,CHISAGO,17
27027,CLAY,97
27029,CLEARWATER,27
27033,COTTONWOOD,28
27035,CROW WING,48
27037,DAKOTA,38
27039,DODGE,30
27041,DOUGLAS,85
27043,FARIBAULT,10
27045,FILLMORE,68
27047,FREEBORN,56
27049,GOODHUE,66
27051,GRANT,21
27053,HENNEPIN,18
27055,HOUSTON,34
27057,HUBBARD,40
27059,ISANTI,76
27061,ITASCA,95
27063,JACKSON,92
27065,KANABEC,27
27067,KANDIYOHI,37
27069,KITTSON,18
27071,KOOCHICHING,7
27073,LAC QUI PARLE,16
27077,LAKE OF THE WOODS,6
27079,LE SUEUR,40
27081,LINCOLN,11
27083,LYON,24
27085,MCLEOD,22
27089,MARSHALL,20
27093,MEEKER,24
27095,MILLE LACS,41
27097,MORRISON,116
27099,MOWER,132
27103,NICOLLET,18
27105,NOBLES,19
27107,NORMAN,9
27109,OLMSTED,73
27111,OTTER TAIL,198
27113,PENNINGTON,4
27115,PINE,73
27117,PIPESTONE,12
27119,POLK,13
27121,POPE,27
27125,RED LAKE,6
27127,REDWOOD,23
27131,RICE,57
27135,ROSEAU,18
27137,ST. LOUIS,63
27139,SCOTT,64
27141,SHERBURNE,34
27143,SIBLEY,13
27145,STEARNS,77
27147,STEELE,18
27149,STEVENS,24
27151,SWIFT,62
27153,TODD,57
27157,WABASHA,48
27159,WADENA,63
27161,WASECA,32
27163,WASHINGTON,81
27169,WINONA,71
27171,WRIGHT,49
27173,YELLOW MEDICINE,64
