FIPS,COUNTY_NAME,VALUE
27001,AITKIN,25
27003,ANOKA,18
27005,BECKER,54
27007,BELTRAMI,66
27009,BENTON,14
27017,CARLTON,11
27021,CASS,16
27023,CHIPPEWA,15
27035,CROW WING,23
27039,DODGE,46
27041,DOUGLAS,34
27043,FARIBAULT,60
27047,FREEBORN,42
27049,GOODHUE,117
27057,HUBBARD,14
27059,ISANTI,76
27063,JACKSON,76
27065,KANABEC,33
27067,KANDIYOHI,21
27073,LAC QUI PARLE,12
27077,LAKE OF THE WOODS,83
27085,MCLEOD,70
27093,MEEKER,6
27095,MILLE LACS,32
27097,MORRISON,22
27109,OLMSTED,56
27111,OTTER TAIL,14
27115,PINE,66
27119,POLK,15
27131,RICE,165
27137,ST. LOUIS,64
27139,SCOTT,48
27141,SHERBURNE,8
27143,SIBLEY,14
27145,STEARNS,161
27151,SWIFT,107
27153,TODD,34
27157,WABASHA,24
27161,WASECA,22
27163,WASHINGTON,14
27169,WINONA,25
27171,WRIGHT,61
