FIPS,COUNTY_NAME,VALUE
27001,AITKIN,474
27003,ANOKA,515
27005,BECKER,173
27007,BELTRAMI,528
27009,BENTON,183
27011,BIG STONE,36
27013,BLUE EARTH,222
27015,BROWN,164
27017,CARLTON,434
27019,CARVER,462
27021,CASS,379
27025,CHISAGO,502
27027,CLAY,81
27029,CLEARWATER,377
27031,COOK,42
27033,COTTONWOOD,22
27035,CROW WING,397
27037,DAKOTA,450
27039,DODGE,393
27041,DOUGLAS,538
27043,FARIBAULT,287
27045,FILLMORE,1224
27047,FREEBORN,466
27049,GOODHUE,1029
27051,GRANT,65
27053,HENNEPIN,85
27055,HOUSTON,459
27057,HUBBARD,156
27059,ISANTI,396
27061,ITASCA,283
27063,JACKSON,415
27065,KANABEC,923
27067,KANDIYOHI,462
27071,KOOCHICHING,66
27073,LAC QUI PARLE,242
27075,LAKE,15
27079,LE SUEUR,390
27081,LINCOLN,360
27083,LYON,316
27085,MCLEOD,628
27087,MAHNOMEN,12
27091,MARTIN,509
27093,MEEKER,363
27095,MILLE LACS,358
27097,MORRISON,939
27099,MOWER,1291
27101,MURRAY,478
27103,NICOLLET,101
27105,NOBLES,808
27107,NORMAN,24
27109,OLMSTED,572
27111,OTTER TAIL,1269
27113,PENNINGTON,63
27115,PINE,396
27117,PIPESTONE,252
27119,POLK,136
27121,POPE,447
27125,RED LAKE,95
27127,REDWOOD,576
27129,RENVILLE,667
27131,RICE,953
27133,ROCK,301
27135,ROSEAU,229
27137,ST. LOUIS,423
27139,SCOTT,699
27141,SHERBURNE,252
27143,SIBLEY,317
27145,STEARNS,839
27147,STEELE,386
27149,STEVENS,66
27151,SWIFT,198
27153,TODD,2772
27155,TRAVERSE,85
27157,WABASHA,962
27159,WADENA,116
27161,WASECA,955
27163,WASHINGTON,1013
27165,WATONWAN,109
27167,WILKIN,183
27169,WINONA,975
27171,WRIGHT,276
