FIPS,COUNTY_NAME,VALUE
27001,AITKIN,267
27003,ANOKA,411
27005,BECKER,316
27007,BELTRAMI,2191
27009,BENTON,990
27011,BIG STONE,536
27013,BLUE EARTH,3322
27015,BROWN,1119
27017,CARLTON,1096
27019,CARVER,836
27021,CASS,589
27023,CHIPPEWA,2272
27025,CHISAGO,1282
27027,CLAY,233
27029,CLEARWATER,827
27033,COTTONWOOD,2707
27035,CROW WING,323
27037,DAKOTA,1024
27039,DODGE,548
27041,DOUGLAS,778
27043,FARIBAULT,655
27045,FILLMORE,3163
27047,FREEBORN,889
27049,GOODHUE,2624
27053,HENNEPIN,332
27055,HOUSTON,595
27057,HUBBARD,511
27059,ISANTI,705
27061,ITASCA,533
27063,JACKSON,1388
27065,KANABEC,519
27067,KANDIYOHI,4101
27069,KITTSON,34
27073,LAC QUI PARLE,1508
27079,LE SUEUR,1023
27081,LINCOLN,2942
27083,LYON,4354
27085,MCLEOD,987
27087,MAHNOMEN,376
27089,MARSHALL,479
27091,MARTIN,1170
27093,MEEKER,1158
27095,MILLE LACS,768
27097,MORRISON,1080
27099,MOWER,1633
27101,MURRAY,5101
27103,NICOLLET,979
27105,NOBLES,1805
27107,NORMAN,323
27109,OLMSTED,923
27111,OTTER TAIL,2162
27113,PENNINGTON,35
27115,PINE,901
27117,PIPESTONE,3964
27119,POLK,481
27121,POPE,867
27125,RED LAKE,102
27127,REDWOOD,2416
27129,RENVILLE,13779
27131,RICE,3084
27133,ROCK,2057
27135,ROSEAU,375
27137,ST. LOUIS,564
27139,SCOTT,518
27141,SHERBURNE,929
27143,SIBLEY,1147
27145,STEARNS,2610
27147,STEELE,793
27149,STEVENS,429
27151,SWIFT,338
27153,TODD,3016
27157,WABASHA,547
27159,WADENA,877
27161,WASECA,888
27163,WASHINGTON,680
27165,WATONWAN,496
27167,WILKIN,51
27169,WINONA,3049
27171,WRIGHT,992
27173,YELLOW MEDICINE,1917
