FIPS,COUNTY_NAME,VALUE
29001,ADAIR,22987
29003,ANDREW,9058
29005,ATCHISON,3898
29007,AUDRAIN,11843
29009,BARRY,48103
29011,BARTON,25193
29013,BATES,46277
29015,BENTON,27353
29025,CALDWELL,16828
29027,CALLAWAY,19200
29029,CAMDEN,11173
29031,CAPE GIRARDEAU,18328
29033,CARROLL,13667
29035,CARTER,4132
29037,CASS,22811
29039,CEDAR,29096
29043,CHRISTIAN,22436
29045,CLARK,7882
29047,CLAY,7117
29051,COLE,26447
29053,COOPER,20587
29055,CRAWFORD,16132
29057,DADE,37105
29059,DALLAS,28859
29061,DAVIESS,14691
29063,DE KALB,16613
29065,DENT,19593
29067,DOUGLAS,33103
29069,DUNKLIN,574
29071,FRANKLIN,25139
29073,GASCONADE,20721
29075,GENTRY,16835
29077,GREENE,37691
29079,GRUNDY,12120
29081,HARRISON,22906
29085,HICKORY,22120
29089,HOWARD,13998
29091,HOWELL,40259
29095,JACKSON,4880
29097,JASPER,31705
29099,JEFFERSON,5411
29101,JOHNSON,37410
29103,KNOX,14558
29105,LACLEDE,40002
29109,LAWRENCE,52362
29113,LINCOLN,10032
29115,LINN,26712
29117,LIVINGSTON,8691
29119,MCDONALD,27662
29121,MACON,25297
29123,MADISON,7997
29125,MARIES,31754
29127,MARION,7853
29131,MILLER,36398
29133,MISSISSIPPI,252
29135,MONITEAU,30822
29137,MONROE,14567
29139,MONTGOMERY,11960
29141,MORGAN,29073
29143,NEW MADRID,83
29145,NEWTON,47865
29147,NODAWAY,25710
29149,OREGON,22288
29151,OSAGE,39026
29153,OZARK,22333
29155,PEMISCOT,36
29157,PERRY,17069
29159,PETTIS,30586
29161,PHELPS,18123
29163,PIKE,17305
29165,PLATTE,6126
29167,POLK,56448
29171,PUTNAM,22971
29175,RANDOLPH,12376
29177,RAY,14142
29185,ST CLAIR,28099
29186,STE GENEVIEVE,13193
29187,ST FRANCOIS,11900
29189,ST LOUIS,101
29199,SCOTLAND,9349
29203,SHANNON,13520
29205,SHELBY,8542
29207,STODDARD,4832
29209,STONE,15459
29215,TEXAS,48991
29217,VERNON,37757
29221,WASHINGTON,9948
29223,WAYNE,7011
29225,WEBSTER,38181
29227,WORTH,7895
29229,WRIGHT,37810
