FIPS,COUNTY_NAME,VALUE
29001,ADAIR,45618
29003,ANDREW,2786
29005,ATCHISON,278
29007,AUDRAIN,161505
29009,BARRY,449695
29011,BARTON,17291
29013,BATES,2254
29015,BENTON,224570
29017,BOLLINGER,987
29019,BOONE,12956
29021,BUCHANAN,795
29023,BUTLER,1300
29025,CALDWELL,1257
29027,CALLAWAY,2173
29029,CAMDEN,1841
29031,CAPE GIRARDEAU,8658
29033,CARROLL,585
29035,CARTER,523
29037,CASS,4674
29039,CEDAR,244512
29041,CHARITON,449
29043,CHRISTIAN,8448
29045,CLARK,550
29047,CLAY,2471
29049,CLINTON,1869
29051,COLE,1928
29053,COOPER,285492
29055,CRAWFORD,2019
29057,DADE,509
29059,DALLAS,486805
29061,DAVIESS,61405
29065,DENT,2992
29067,DOUGLAS,2196
29069,DUNKLIN,173
29071,FRANKLIN,4993
29073,GASCONADE,1392
29075,GENTRY,6373
29077,GREENE,4307
29081,HARRISON,1340
29083,HENRY,1100
29085,HICKORY,979
29087,HOLT,167
29091,HOWELL,23209
29093,IRON,1281
29095,JACKSON,4145
29097,JASPER,3196
29099,JEFFERSON,4022
29103,KNOX,99703
29105,LACLEDE,2944
29107,LAFAYETTE,2999
29109,LAWRENCE,136005
29111,LEWIS,1118
29115,LINN,1489
29117,LIVINGSTON,964
29119,MCDONALD,309598
29121,MACON,2723
29123,MADISON,510
29125,MARIES,4555
29127,MARION,795
29129,MERCER,643
29131,MILLER,1050
29137,MONROE,2642
29139,MONTGOMERY,1536
29141,MORGAN,313741
29147,NODAWAY,1193
29149,OREGON,2249
29151,OSAGE,1846
29153,OZARK,1588
29157,PERRY,1450
29159,PETTIS,883598
29161,PHELPS,2007
29163,PIKE,2494
29165,PLATTE,1448
29167,POLK,518738
29169,PULASKI,1126
29171,PUTNAM,769
29173,RALLS,1168
29175,RANDOLPH,1300
29177,RAY,3115
29179,REYNOLDS,1354
29183,ST CHARLES,1492
29185,ST CLAIR,16957
29186,STE GENEVIEVE,1520
29187,ST FRANCOIS,2375
29189,ST LOUIS,605
29195,SALINE,1316
29197,SCHUYLER,1442
29199,SCOTLAND,132190
29203,SHANNON,1215
29205,SHELBY,42539
29209,STONE,2918
29211,SULLIVAN,364
29213,TANEY,1194
29215,TEXAS,4240
29217,VERNON,137569
29219,WARREN,1816
29221,WASHINGTON,1525
29223,WAYNE,732
29225,WEBSTER,92045
29227,WORTH,129
29229,WRIGHT,25975
