FIPS,COUNTY_NAME,VALUE
29001,ADAIR,82
29003,ANDREW,34
29007,AUDRAIN,66
29009,BARRY,170
29013,BATES,316
29015,BENTON,64
29017,BOLLINGER,200
29019,BOONE,213
29023,BUTLER,60
29025,CALDWELL,12
29027,CALLAWAY,86
29029,CAMDEN,69
29031,CAPE GIRARDEAU,107
29033,CARROLL,9
29037,CASS,89
29039,CEDAR,58
29043,CHRISTIAN,24
29045,CLARK,20
29049,CLINTON,124
29051,COLE,28
29055,CRAWFORD,118
29057,DADE,56
29059,DALLAS,318
29061,DAVIESS,80
29063,DE KALB,12
29065,DENT,167
29067,DOUGLAS,339
29071,FRANKLIN,224
29075,GENTRY,21
29077,GREENE,207
29081,HARRISON,240
29083,HENRY,221
29085,HICKORY,132
29091,HOWELL,300
29093,IRON,29
29095,JACKSON,71
29097,JASPER,146
29099,JEFFERSON,83
29101,JOHNSON,167
29103,KNOX,38
29105,LACLEDE,112
29107,LAFAYETTE,184
29109,LAWRENCE,138
29113,LINCOLN,145
29117,LIVINGSTON,6
29119,MCDONALD,70
29121,MACON,67
29123,MADISON,25
29125,MARIES,142
29135,MONITEAU,143
29137,MONROE,84
29139,MONTGOMERY,116
29141,MORGAN,171
29145,NEWTON,181
29147,NODAWAY,3
29149,OREGON,112
29151,OSAGE,32
29153,OZARK,200
29157,PERRY,82
29159,PETTIS,46
29161,PHELPS,102
29163,PIKE,64
29165,PLATTE,225
29167,POLK,62
29169,PULASKI,228
29171,PUTNAM,266
29173,RALLS,66
29175,RANDOLPH,346
29177,RAY,158
29179,REYNOLDS,176
29181,RIPLEY,29
29183,ST CHARLES,52
29185,ST CLAIR,415
29189,ST LOUIS,19
29203,SHANNON,139
29205,SHELBY,18
29207,STODDARD,39
29209,STONE,246
29211,SULLIVAN,36
29213,TANEY,94
29215,TEXAS,417
29217,VERNON,114
29219,WARREN,66
29221,WASHINGTON,41
29223,WAYNE,62
29225,WEBSTER,5030
29229,WRIGHT,176
