FIPS,COUNTY_NAME,VALUE
29009,BARRY,83
29013,BATES,45
29019,BOONE,40
29023,BUTLER,42
29027,CALLAWAY,20
29029,CAMDEN,19
29037,CASS,51
29039,CEDAR,42
29057,DADE,26
29059,DALLAS,48
29061,DAVIESS,40
29065,DENT,24
29067,DOUGLAS,160
29071,FRANKLIN,112
29073,GASCONADE,36
29075,GENTRY,18
29077,GREENE,15
29083,HENRY,50
29085,HICKORY,130
29091,HOWELL,107
29097,JASPER,4
29099,JEFFERSON,57
29105,LACLEDE,33
29107,LAFAYETTE,26
29109,LAWRENCE,32
29113,LINCOLN,20
29119,MCDONALD,37
29125,MARIES,164
29135,MONITEAU,20
29137,MONROE,30
29141,MORGAN,61
29145,NEWTON,38
29149,OREGON,45
29151,OSAGE,5
29153,OZARK,44
29159,PETTIS,66
29161,PHELPS,13
29165,PLATTE,101
29169,PULASKI,52
29171,PUTNAM,53
29175,RANDOLPH,45
29185,ST CLAIR,101
29187,ST FRANCOIS,12
29195,SALINE,8
29203,SHANNON,30
29207,STODDARD,23
29209,STONE,42
29213,TANEY,14
29215,TEXAS,162
29217,VERNON,37
29221,WASHINGTON,7
29225,WEBSTER,284
29229,WRIGHT,58
