FIPS,COUNTY_NAME,VALUE
29001,ADAIR,4
29003,ANDREW,24
29013,BATES,23
29027,CALLAWAY,5
29031,CAPE GIRARDEAU,16
29037,CASS,42
29043,CHRISTIAN,54
29049,CLINTON,58
29055,CRAWFORD,24
29059,DALLAS,139
29065,DENT,34
29071,FRANKLIN,23
29077,GREENE,9
29099,JEFFERSON,21
29105,LACLEDE,11
29113,LINCOLN,15
29119,MCDONALD,15
29127,MARION,9
29137,MONROE,10
29141,MORGAN,222
29145,NEWTON,16
29147,NODAWAY,150
29149,OREGON,12
29157,PERRY,8
29159,PETTIS,24
29161,PHELPS,3
29175,RANDOLPH,42
29179,REYNOLDS,34
29186,STE GENEVIEVE,10
29187,ST FRANCOIS,12
29215,TEXAS,82
29221,WASHINGTON,92
29227,WORTH,4
