FIPS,COUNTY_NAME,VALUE
29001,ADAIR,180
29003,ANDREW,307
29005,ATCHISON,258
29007,AUDRAIN,571
29009,BARRY,914
29013,BATES,319
29015,BENTON,108
29017,BOLLINGER,179
29019,BOONE,1334
29021,BUCHANAN,269
29025,CALDWELL,205
29027,CALLAWAY,673
29029,CAMDEN,434
29031,CAPE GIRARDEAU,592
29037,CASS,1006
29039,CEDAR,688
29041,CHARITON,369
29043,CHRISTIAN,1015
29045,CLARK,76
29047,CLAY,331
29049,CLINTON,197
29051,COLE,181
29053,COOPER,225
29055,CRAWFORD,321
29057,DADE,420
29059,DALLAS,535
29061,DAVIESS,217
29063,DE KALB,469
29065,DENT,1782
29067,DOUGLAS,1598
29069,DUNKLIN,38
29071,FRANKLIN,1211
29075,GENTRY,109
29077,GREENE,1110
29081,HARRISON,539
29083,HENRY,321
29085,HICKORY,337
29089,HOWARD,409
29091,HOWELL,1473
29095,JACKSON,403
29097,JASPER,653
29099,JEFFERSON,308
29101,JOHNSON,934
29103,KNOX,86
29105,LACLEDE,541
29107,LAFAYETTE,513
29109,LAWRENCE,902
29111,LEWIS,302
29113,LINCOLN,375
29115,LINN,64
29117,LIVINGSTON,74
29119,MCDONALD,760
29127,MARION,67
29129,MERCER,73
29135,MONITEAU,342
29137,MONROE,425
29139,MONTGOMERY,265
29141,MORGAN,584
29145,NEWTON,1170
29147,NODAWAY,1326
29149,OREGON,1167
29151,OSAGE,1072
29153,OZARK,1481
29157,PERRY,214
29159,PETTIS,2203
29161,PHELPS,427
29163,PIKE,204
29165,PLATTE,213
29167,POLK,773
29169,PULASKI,230
29171,PUTNAM,106
29173,RALLS,258
29175,RANDOLPH,418
29177,RAY,481
29179,REYNOLDS,608
29181,RIPLEY,532
29185,ST CLAIR,528
29186,STE GENEVIEVE,158
29187,ST FRANCOIS,564
29195,SALINE,169
29197,SCHUYLER,1138
29199,SCOTLAND,419
29203,SHANNON,455
29209,STONE,618
29211,SULLIVAN,211
29213,TANEY,144
29215,TEXAS,2566
29217,VERNON,1559
29219,WARREN,392
29221,WASHINGTON,262
29225,WEBSTER,540
29227,WORTH,53
29229,WRIGHT,2238
