FIPS,COUNTY_NAME,VALUE
29001,ADAIR,682
29005,ATCHISON,72
29009,BARRY,321
29013,BATES,51
29015,BENTON,144
29017,BOLLINGER,118
29019,BOONE,330
29021,BUCHANAN,212
29025,CALDWELL,21
29027,CALLAWAY,32
29029,CAMDEN,54
29031,CAPE GIRARDEAU,108
29033,CARROLL,316
29037,CASS,196
29039,CEDAR,133
29041,CHARITON,30
29043,CHRISTIAN,334
29045,CLARK,75
29047,CLAY,90
29049,CLINTON,127
29055,CRAWFORD,151
29057,DADE,80
29059,DALLAS,193
29061,DAVIESS,140
29065,DENT,64
29067,DOUGLAS,48
29071,FRANKLIN,199
29075,GENTRY,660
29077,GREENE,221
29081,HARRISON,62
29083,HENRY,64
29085,HICKORY,35
29089,HOWARD,119
29099,JEFFERSON,319
29101,JOHNSON,593
29103,KNOX,45
29105,LACLEDE,110
29111,LEWIS,816
29113,LINCOLN,266
29115,LINN,334
29117,LIVINGSTON,50
29119,MCDONALD,175
29121,MACON,687
29127,MARION,29
29129,MERCER,265
29137,MONROE,48
29141,MORGAN,1151
29145,NEWTON,398
29147,NODAWAY,191
29149,OREGON,79
29151,OSAGE,138
29153,OZARK,140
29157,PERRY,44
29159,PETTIS,183
29161,PHELPS,144
29163,PIKE,44
29165,PLATTE,53
29167,POLK,254
29169,PULASKI,366
29171,PUTNAM,45
29173,RALLS,44
29175,RANDOLPH,455
29179,REYNOLDS,92
29181,RIPLEY,84
29186,STE GENEVIEVE,202
29187,ST FRANCOIS,142
29195,SALINE,85
29199,SCOTLAND,33
29209,STONE,245
29211,SULLIVAN,14
29213,TANEY,134
29215,TEXAS,397
29217,VERNON,99
29219,WARREN,88
29221,WASHINGTON,110
29225,WEBSTER,125
29227,WORTH,49
