FIPS,COUNTY_NAME,VALUE
29001,ADAIR,866
29003,ANDREW,331
29005,ATCHISON,330
29007,AUDRAIN,914
29009,BARRY,1235
29011,BARTON,290
29013,BATES,393
29015,BENTON,252
29017,BOLLINGER,297
29019,BOONE,1664
29021,BUCHANAN,481
29023,BUTLER,263
29025,CALDWELL,226
29027,CALLAWAY,710
29029,CAMDEN,488
29031,CAPE GIRARDEAU,716
29033,CARROLL,435
29035,CARTER,374
29037,CASS,1244
29039,CEDAR,821
29041,CHARITON,399
29043,CHRISTIAN,1403
29045,CLARK,151
29047,CLAY,421
29049,CLINTON,382
29051,COLE,223
29053,COOPER,250
29055,CRAWFORD,496
29057,DADE,500
29059,DALLAS,867
29061,DAVIESS,357
29063,DE KALB,494
29065,DENT,1880
29067,DOUGLAS,1646
29069,DUNKLIN,38
29071,FRANKLIN,1433
29073,GASCONADE,291
29075,GENTRY,769
29077,GREENE,1340
29079,GRUNDY,417
29081,HARRISON,601
29083,HENRY,385
29085,HICKORY,372
29089,HOWARD,528
29091,HOWELL,1854
29093,IRON,225
29095,JACKSON,622
29097,JASPER,762
29099,JEFFERSON,648
29101,JOHNSON,1527
29103,KNOX,131
29105,LACLEDE,662
29107,LAFAYETTE,571
29109,LAWRENCE,1362
29111,LEWIS,1118
29113,LINCOLN,656
29115,LINN,398
29117,LIVINGSTON,124
29119,MCDONALD,950
29121,MACON,984
29123,MADISON,168
29125,MARIES,345
29127,MARION,105
29129,MERCER,338
29131,MILLER,339
29135,MONITEAU,478
29137,MONROE,483
29139,MONTGOMERY,433
29141,MORGAN,1957
29145,NEWTON,1584
29147,NODAWAY,1667
29149,OREGON,1258
29151,OSAGE,1210
29153,OZARK,1621
29157,PERRY,266
29159,PETTIS,2410
29161,PHELPS,574
29163,PIKE,248
29165,PLATTE,266
29167,POLK,1027
29169,PULASKI,596
29171,PUTNAM,151
29173,RALLS,302
29175,RANDOLPH,915
29177,RAY,580
29179,REYNOLDS,734
29181,RIPLEY,616
29183,ST CHARLES,80
29185,ST CLAIR,646
29186,STE GENEVIEVE,370
29187,ST FRANCOIS,718
29195,SALINE,254
29197,SCHUYLER,1164
29199,SCOTLAND,452
29201,SCOTT,189
29203,SHANNON,478
29205,SHELBY,53
29207,STODDARD,126
29209,STONE,863
29211,SULLIVAN,225
29213,TANEY,278
29215,TEXAS,3045
29217,VERNON,1658
29219,WARREN,480
29221,WASHINGTON,464
29223,WAYNE,719
29225,WEBSTER,665
29227,WORTH,106
29229,WRIGHT,2423
