FIPS,COUNTY_NAME,VALUE
29001,ADAIR,51
29003,ANDREW,21
29005,ATCHISON,30
29007,AUDRAIN,337
29009,BARRY,150
29011,BARTON,71
29013,BATES,72
29015,BENTON,70
29017,BOLLINGER,64
29019,BOONE,556
29021,BUCHANAN,61
29023,BUTLER,68
29025,CALDWELL,213
29027,CALLAWAY,220
29029,CAMDEN,88
29031,CAPE GIRARDEAU,121
29033,CARROLL,48
29035,CARTER,76
29037,CASS,218
29039,CEDAR,23
29041,CHARITON,18
29043,CHRISTIAN,171
29045,CLARK,59
29047,CLAY,100
29049,CLINTON,54
29051,COLE,49
29053,COOPER,108
29055,CRAWFORD,101
29059,DALLAS,161
29061,DAVIESS,84
29063,DE KALB,299
29065,DENT,114
29067,DOUGLAS,182
29071,FRANKLIN,375
29073,GASCONADE,102
29075,GENTRY,30
29077,GREENE,469
29079,GRUNDY,149
29081,HARRISON,171
29083,HENRY,42
29085,HICKORY,43
29087,HOLT,41
29089,HOWARD,43
29091,HOWELL,97
29093,IRON,47
29095,JACKSON,94
29097,JASPER,209
29099,JEFFERSON,177
29101,JOHNSON,113
29103,KNOX,47
29105,LACLEDE,105
29107,LAFAYETTE,234
29109,LAWRENCE,105
29111,LEWIS,29
29113,LINCOLN,389
29115,LINN,54
29117,LIVINGSTON,73
29119,MCDONALD,70
29121,MACON,51
29123,MADISON,33
29125,MARIES,42
29127,MARION,9
29131,MILLER,108
29135,MONITEAU,72
29137,MONROE,229
29139,MONTGOMERY,66
29141,MORGAN,91
29143,NEW MADRID,40
29145,NEWTON,279
29147,NODAWAY,67
29151,OSAGE,42
29153,OZARK,26
29157,PERRY,117
29159,PETTIS,122
29161,PHELPS,38
29163,PIKE,113
29165,PLATTE,81
29167,POLK,261
29169,PULASKI,43
29171,PUTNAM,62
29173,RALLS,134
29175,RANDOLPH,66
29177,RAY,89
29179,REYNOLDS,36
29181,RIPLEY,35
29183,ST CHARLES,175
29185,ST CLAIR,65
29186,STE GENEVIEVE,119
29187,ST FRANCOIS,139
29189,ST LOUIS,138
29195,SALINE,21
29197,SCHUYLER,44
29199,SCOTLAND,143
29203,SHANNON,16
29205,SHELBY,279
29207,STODDARD,323
29209,STONE,107
29211,SULLIVAN,40
29213,TANEY,37
29215,TEXAS,117
29217,VERNON,277
29219,WARREN,55
29221,WASHINGTON,184
29223,WAYNE,39
29225,WEBSTER,184
29227,WORTH,38
29229,WRIGHT,30
