FIPS,COUNTY_NAME,VALUE
29001,ADAIR,779
29003,ANDREW,485
29005,ATCHISON,417
29007,AUDRAIN,3175
29009,BARRY,1334
29011,BARTON,700
29013,BATES,1520
29015,BENTON,1118
29017,BOLLINGER,561
29019,BOONE,1441
29021,BUCHANAN,1043
29023,BUTLER,52
29025,CALDWELL,625
29027,CALLAWAY,2008
29029,CAMDEN,893
29031,CAPE GIRARDEAU,1257
29033,CARROLL,412
29035,CARTER,169
29037,CASS,573
29039,CEDAR,2517
29041,CHARITON,634
29043,CHRISTIAN,1664
29045,CLARK,558
29047,CLAY,256
29049,CLINTON,1671
29051,COLE,920
29053,COOPER,388
29055,CRAWFORD,413
29057,DADE,1773
29059,DALLAS,1169
29061,DAVIESS,1114
29063,DE KALB,644
29065,DENT,665
29067,DOUGLAS,1983
29069,DUNKLIN,26
29071,FRANKLIN,2112
29073,GASCONADE,551
29075,GENTRY,1404
29077,GREENE,1873
29079,GRUNDY,1617
29081,HARRISON,1654
29083,HENRY,304
29085,HICKORY,184
29087,HOLT,142
29089,HOWARD,1552
29091,HOWELL,1191
29093,IRON,85
29095,JACKSON,413
29097,JASPER,1068
29099,JEFFERSON,419
29101,JOHNSON,1347
29103,KNOX,1279
29105,LACLEDE,3180
29107,LAFAYETTE,546
29109,LAWRENCE,1263
29111,LEWIS,218
29113,LINCOLN,1393
29115,LINN,1685
29119,MCDONALD,609
29121,MACON,1812
29123,MADISON,93
29125,MARIES,817
29127,MARION,409
29129,MERCER,499
29131,MILLER,1804
29135,MONITEAU,1251
29137,MONROE,2815
29139,MONTGOMERY,3048
29141,MORGAN,1901
29145,NEWTON,1038
29147,NODAWAY,2005
29149,OREGON,958
29151,OSAGE,1340
29153,OZARK,386
29157,PERRY,329
29159,PETTIS,825
29161,PHELPS,938
29163,PIKE,476
29165,PLATTE,502
29167,POLK,1856
29169,PULASKI,194
29171,PUTNAM,791
29173,RALLS,347
29175,RANDOLPH,688
29177,RAY,461
29179,REYNOLDS,376
29181,RIPLEY,177
29183,ST CHARLES,569
29185,ST CLAIR,3054
29186,STE GENEVIEVE,354
29187,ST FRANCOIS,588
29189,ST LOUIS,32
29195,SALINE,61
29197,SCHUYLER,1485
29199,SCOTLAND,930
29201,SCOTT,248
29203,SHANNON,257
29205,SHELBY,1060
29207,STODDARD,997
29209,STONE,611
29211,SULLIVAN,54
29213,TANEY,121
29215,TEXAS,2099
29217,VERNON,1975
29219,WARREN,170
29221,WASHINGTON,222
29223,WAYNE,663
29225,WEBSTER,2732
29229,WRIGHT,3675
