FIPS,COUNTY_NAME,VALUE
28001,ADAMS,2117
28003,ALCORN,4679
28005,AMITE,8788
28009,BENTON,3009
28011,BOLIVAR,681
28013,CALHOUN,6594
28015,CARROLL,9901
28017,CHICKASAW,9251
28019,CHOCTAW,2908
28021,CLAIBORNE,4836
28023,CLARKE,4758
28025,CLAY,7088
28027,COAHOMA,572
28031,COVINGTON,9199
28039,GEORGE,6009
28041,GREENE,10350
28043,GRENADA,4363
28045,HANCOCK,4790
28047,HARRISON,2039
28049,HINDS,11260
28051,HOLMES,7389
28057,ITAWAMBA,3364
28059,JACKSON,4146
28061,JASPER,10309
28063,JEFFERSON,4290
28065,JEFFERSON DAVIS,6108
28067,JONES,13929
28069,KEMPER,6279
28071,LAFAYETTE,5005
28073,LAMAR,7531
28075,LAUDERDALE,3150
28077,LAWRENCE,6408
28079,LEAKE,10438
28081,LEE,6029
28083,LEFLORE,86
28087,LOWNDES,6218
28089,MADISON,6885
28091,MARION,7287
28097,MONTGOMERY,2751
28101,NEWTON,10104
28107,PANOLA,8983
28109,PEARL RIVER,10273
28111,PERRY,5191
28113,PIKE,8326
28117,PRENTISS,5135
28121,RANKIN,10861
28123,SCOTT,14460
28127,SIMPSON,9361
28129,SMITH,10686
28131,STONE,5825
28133,SUNFLOWER,213
28135,TALLAHATCHIE,3752
28137,TATE,12626
28139,TIPPAH,5084
28141,TISHOMINGO,1902
28145,UNION,6385
28147,WALTHALL,11715
28149,WARREN,2090
28151,WASHINGTON,175
28153,WAYNE,10381
28155,WEBSTER,2427
28157,WILKINSON,4696
28161,YALOBUSHA,4275
28163,YAZOO,7964
