FIPS,COUNTY_NAME,VALUE
28001,ADAMS,2117
28003,ALCORN,4739
28005,AMITE,8788
28007,ATTALA,4692
28009,BENTON,3009
28011,BOLIVAR,681
28013,CALHOUN,6594
28015,CARROLL,9901
28017,CHICKASAW,9251
28019,CHOCTAW,2908
28021,CLAIBORNE,4836
28023,CLARKE,4758
28025,CLAY,7088
28027,COAHOMA,572
28029,COPIAH,9859
28031,COVINGTON,9199
28033,DE SOTO,3813
28035,FORREST,4139
28037,FRANKLIN,1865
28039,GEORGE,6009
28041,GREENE,10350
28043,GRENADA,4363
28045,HANCOCK,5095
28047,HARRISON,2039
28049,HINDS,11260
28051,HOLMES,7389
28057,ITAWAMBA,3364
28059,JACKSON,4146
28061,JASPER,10309
28063,JEFFERSON,4290
28065,JEFFERSON DAVIS,6108
28067,JONES,14369
28069,KEMPER,6279
28071,LAFAYETTE,5005
28073,LAMAR,7666
28075,LAUDERDALE,3150
28077,LAWRENCE,6408
28079,LEAKE,10438
28081,LEE,6029
28083,LEFLORE,86
28085,LINCOLN,13400
28087,LOWNDES,6218
28089,MADISON,6885
28091,MARION,8337
28093,MARSHALL,12359
28095,MONROE,8806
28097,MONTGOMERY,2751
28099,NESHOBA,13192
28101,NEWTON,10584
28103,NOXUBEE,8881
28105,OKTIBBEHA,6988
28107,PANOLA,8983
28109,PEARL RIVER,10519
28111,PERRY,5191
28113,PIKE,9322
28115,PONTOTOC,7437
28117,PRENTISS,5135
28121,RANKIN,10861
28123,SCOTT,14460
28127,SIMPSON,9361
28129,SMITH,10686
28131,STONE,5825
28133,SUNFLOWER,213
28135,TALLAHATCHIE,3752
28137,TATE,13866
28139,TIPPAH,5084
28141,TISHOMINGO,1902
28145,UNION,6385
28147,WALTHALL,13457
28149,WARREN,2090
28151,WASHINGTON,175
28153,WAYNE,10381
28155,WEBSTER,2427
28157,WILKINSON,4696
28159,WINSTON,6607
28161,YALOBUSHA,4275
28163,YAZOO,7964
