FIPS,COUNTY_NAME,VALUE
28003,ALCORN,114
28005,AMITE,4757789
28011,BOLIVAR,90
28013,CALHOUN,100
28015,CARROLL,99
28023,CLARKE,1168008
28029,COPIAH,3764200
28031,COVINGTON,9566480
28035,FORREST,399840
28041,GREENE,515428
28043,GRENADA,45
28045,HANCOCK,418
28047,HARRISON,140
28049,HINDS,147
28051,HOLMES,161
28057,ITAWAMBA,12
28061,JASPER,10380706
28063,JEFFERSON,986275
28065,JEFFERSON DAVIS,1311986
28067,JONES,10504648
28069,KEMPER,176
28071,LAFAYETTE,201
28073,LAMAR,2564263
28075,LAUDERDALE,113
28077,LAWRENCE,4205814
28079,LEAKE,14756483
28085,LINCOLN,2764457
28087,LOWNDES,893834
28091,MARION,2937140
28093,MARSHALL,150
28099,NESHOBA,11118790
28101,NEWTON,4565584
28103,NOXUBEE,1206800
28109,PEARL RIVER,314
28111,PERRY,2552200
28113,PIKE,1775494
28115,PONTOTOC,14
28121,RANKIN,4220058
28123,SCOTT,7802988
28127,SIMPSON,6382119
28129,SMITH,10227281
28131,STONE,30
28137,TATE,146
28139,TIPPAH,24
28147,WALTHALL,3402631
28149,WARREN,60
28153,WAYNE,9171892
28157,WILKINSON,258
28159,WINSTON,2440903
