FIPS,COUNTY_NAME,VALUE
28001,ADAMS,168
28005,AMITE,844
28007,ATTALA,803
28009,BENTON,579
28011,BOLIVAR,72
28013,CALHOUN,373
28015,CARROLL,1514
28019,CHOCTAW,464
28021,CLAIBORNE,103
28023,CLARKE,705
28025,CLAY,274
28029,COPIAH,897
28031,COVINGTON,206877
28033,DE SOTO,998
28035,FORREST,1032
28039,GEORGE,2557
28041,GREENE,101005
28043,GRENADA,851
28045,HANCOCK,1931
28047,HARRISON,2085
28051,HOLMES,699
28053,HUMPHREYS,12
28057,ITAWAMBA,378
28059,JACKSON,4568
28061,JASPER,188386
28063,JEFFERSON,396
28065,JEFFERSON DAVIS,299851
28069,KEMPER,107740
28071,LAFAYETTE,1567
28075,LAUDERDALE,41086
28077,LAWRENCE,68792
28079,LEAKE,197707
28081,LEE,799
28083,LEFLORE,274
28085,LINCOLN,1538
28087,LOWNDES,1000
28089,MADISON,634
28091,MARION,389736
28093,MARSHALL,1915
28095,MONROE,2125
28097,MONTGOMERY,67
28099,NESHOBA,328196
28101,NEWTON,176148
28103,NOXUBEE,210390
28105,OKTIBBEHA,1034
28107,PANOLA,554
28109,PEARL RIVER,4874
28111,PERRY,108930
28113,PIKE,62204
28115,PONTOTOC,1975
28117,PRENTISS,264
28121,RANKIN,59292
28123,SCOTT,118503
28125,SHARKEY,18
28127,SIMPSON,325170
28129,SMITH,240090
28131,STONE,1180
28133,SUNFLOWER,369
28135,TALLAHATCHIE,194
28137,TATE,1450
28139,TIPPAH,655
28141,TISHOMINGO,337
28143,TUNICA,75
28145,UNION,581
28147,WALTHALL,112587
28149,WARREN,394
28153,WAYNE,409288
28155,WEBSTER,180
28157,WILKINSON,56
28159,WINSTON,253754
28161,YALOBUSHA,957
28163,YAZOO,208
