FIPS,COUNTY_NAME,VALUE
28005,AMITE,13
28007,ATTALA,30
28009,BENTON,22
28013,CALHOUN,6
28015,CARROLL,17
28023,CLARKE,32
28025,CLAY,61
28029,COPIAH,8
28031,COVINGTON,24746
28033,DE SOTO,4
28035,FORREST,12
28039,GEORGE,136
28041,GREENE,12060
28045,HANCOCK,15
28047,HARRISON,21
28049,HINDS,22
28051,HOLMES,7
28057,ITAWAMBA,13
28059,JACKSON,66
28061,JASPER,22538
28065,JEFFERSON DAVIS,67540
28069,KEMPER,12909
28071,LAFAYETTE,36
28075,LAUDERDALE,4815
28077,LAWRENCE,7878
28079,LEAKE,22082
28081,LEE,103
28083,LEFLORE,20
28085,LINCOLN,125
28087,LOWNDES,89
28091,MARION,47626
28093,MARSHALL,111
28095,MONROE,18
28099,NESHOBA,43306
28101,NEWTON,33076
28103,NOXUBEE,25224
28109,PEARL RIVER,104
28111,PERRY,12960
28113,PIKE,1368
28115,PONTOTOC,55
28121,RANKIN,7023
28123,SCOTT,14830
28127,SIMPSON,39872
28129,SMITH,27984
28131,STONE,85
28135,TALLAHATCHIE,10
28137,TATE,21
28139,TIPPAH,8
28145,UNION,9
28147,WALTHALL,13424
28153,WAYNE,25793
28155,WEBSTER,25
28159,WINSTON,31599
28161,YALOBUSHA,32
