FIPS,COUNTY_NAME,VALUE
28001,ADAMS,1508
28013,CALHOUN,15
28015,CARROLL,147
28017,CHICKASAW,37
28019,CHOCTAW,60
28023,CLARKE,111
28025,CLAY,46
28029,COPIAH,20
28031,COVINGTON,903
28033,DE SOTO,18
28035,FORREST,106
28039,GEORGE,117
28041,GREENE,24
28043,GRENADA,15
28045,HANCOCK,231
28047,HARRISON,206
28049,HINDS,91
28059,JACKSON,185
28061,JASPER,100
28065,JEFFERSON DAVIS,126
28069,KEMPER,36
28071,LAFAYETTE,36
28073,LAMAR,20
28075,LAUDERDALE,85
28077,LAWRENCE,70
28079,LEAKE,24
28087,LOWNDES,117
28091,MARION,160
28093,MARSHALL,132
28095,MONROE,30
28099,NESHOBA,85
28101,NEWTON,90
28109,PEARL RIVER,485
28113,PIKE,94
28115,PONTOTOC,75
28117,PRENTISS,30
28121,RANKIN,38
28123,SCOTT,78
28131,STONE,44
28133,SUNFLOWER,96
28137,TATE,40
28147,WALTHALL,18
28153,WAYNE,7
28155,WEBSTER,15
28159,WINSTON,8
28161,YALOBUSHA,95
