FIPS,COUNTY_NAME,VALUE
28001,ADAMS,8
28003,ALCORN,40
28005,AMITE,72
28009,BENTON,6
28013,CALHOUN,66
28015,CARROLL,58
28029,COPIAH,85
28031,COVINGTON,72
28033,DE SOTO,74
28035,FORREST,63
28039,GEORGE,86
28041,GREENE,7
28043,GRENADA,87
28045,HANCOCK,80
28049,HINDS,80
28059,JACKSON,95
28063,JEFFERSON,98
28067,JONES,152
28071,LAFAYETTE,8
28073,LAMAR,204
28077,LAWRENCE,42
28081,LEE,28
28085,LINCOLN,48
28093,MARSHALL,59
28095,MONROE,105
28099,NESHOBA,140
28101,NEWTON,53
28105,OKTIBBEHA,88
28107,PANOLA,27
28109,PEARL RIVER,17
28113,PIKE,144
28115,PONTOTOC,56
28121,RANKIN,73
28129,SMITH,94
28131,STONE,90
28133,SUNFLOWER,12
28135,TALLAHATCHIE,75
28139,TIPPAH,80
28147,WALTHALL,55
28159,WINSTON,59
