FIPS,COUNTY_NAME,VALUE
28003,ALCORN,100
28007,ATTALA,24
28009,BENTON,19
28013,CALHOUN,15
28015,CARROLL,38
28019,CHOCTAW,13
28021,CLAIBORNE,14
28023,CLARKE,25
28025,CLAY,62
28029,COPIAH,254
28031,COVINGTON,26
28033,DE SOTO,260
28035,FORREST,479
28037,FRANKLIN,36
28039,GEORGE,72
28041,GREENE,377
28045,HANCOCK,55
28047,HARRISON,91
28049,HINDS,172
28051,HOLMES,12
28057,ITAWAMBA,17
28059,JACKSON,510
28061,JASPER,162
28065,JEFFERSON DAVIS,3
28067,JONES,1161
28069,KEMPER,5
28071,LAFAYETTE,98
28073,LAMAR,904
28075,LAUDERDALE,24
28077,LAWRENCE,10
28079,LEAKE,27
28081,LEE,630
28083,LEFLORE,31
28085,LINCOLN,190
28087,LOWNDES,251
28089,MADISON,219
28091,MARION,35
28093,MARSHALL,86
28095,MONROE,114
28099,NESHOBA,892
28101,NEWTON,77
28105,OKTIBBEHA,72
28109,PEARL RIVER,130
28113,PIKE,45
28115,PONTOTOC,96
28117,PRENTISS,35
28121,RANKIN,108
28123,SCOTT,201
28127,SIMPSON,21
28133,SUNFLOWER,7
28135,TALLAHATCHIE,10
28137,TATE,21
28139,TIPPAH,172
28141,TISHOMINGO,233
28145,UNION,402
28147,WALTHALL,193
28153,WAYNE,16
28161,YALOBUSHA,22
28163,YAZOO,4532
