FIPS,COUNTY_NAME,VALUE
30001,BEAVERHEAD,126752
30003,BIG HORN,83734
30005,BLAINE,70698
30007,BROADWATER,23154
30009,CARBON,78558
30011,CARTER,91252
30013,CASCADE,64816
30015,CHOUTEAU,37644
30017,CUSTER,90952
30019,DANIELS,14412
30021,DAWSON,36427
30023,DEER LODGE,7361
30025,FALLON,46066
30027,FERGUS,119336
30029,FLATHEAD,8441
30031,GALLATIN,41043
30033,GARFIELD,74262
30035,GLACIER,43839
30037,GOLDEN VALLEY,16484
30039,GRANITE,19392
30041,HILL,16826
30043,JEFFERSON,24879
30045,JUDITH BASIN,72091
30047,LAKE,56119
30049,LEWIS AND CLARK,40202
30051,LIBERTY,10245
30053,LINCOLN,2101
30055,MCCONE,40349
30057,MADISON,80763
30059,MEAGHER,50989
30061,MINERAL,438
30063,MISSOULA,5772
30065,MUSSELSHELL,38861
30067,PARK,37099
30069,PETROLEUM,22138
30071,PHILLIPS,76901
30073,PONDERA,24285
30075,POWDER RIVER,84944
30077,POWELL,35243
30079,PRAIRIE,48224
30081,RAVALLI,27032
30083,RICHLAND,63288
30085,ROOSEVELT,27228
30087,ROSEBUD,91559
30089,SANDERS,15539
30091,SHERIDAN,17651
30093,SILVER BOW,3679
30095,STILLWATER,46755
30097,SWEET GRASS,33529
30099,TETON,46002
30101,TOOLE,18245
30103,TREASURE,28375
30105,VALLEY,61831
30107,WHEATLAND,43006
30109,WIBAUX,21050
30111,YELLOWSTONE,110710
