FIPS,COUNTY_NAME,VALUE
30001,BEAVERHEAD,773
30003,BIG HORN,395
30007,BROADWATER,820
30009,CARBON,1680
30011,CARTER,465
30013,CASCADE,76469
30015,CHOUTEAU,93291
30017,CUSTER,792
30019,DANIELS,110
30021,DAWSON,722
30023,DEER LODGE,29
30025,FALLON,539
30027,FERGUS,1592
30029,FLATHEAD,5334
30031,GALLATIN,2415
30033,GARFIELD,226
30035,GLACIER,172403
30039,GRANITE,174
30043,JEFFERSON,717
30045,JUDITH BASIN,594
30047,LAKE,14273
30051,LIBERTY,107810
30053,LINCOLN,1105
30055,MCCONE,424
30057,MADISON,902
30059,MEAGHER,98
30061,MINERAL,192
30063,MISSOULA,2087
30065,MUSSELSHELL,980
30067,PARK,2314
30071,PHILLIPS,342
30073,PONDERA,115236
30075,POWDER RIVER,538
30077,POWELL,736
30079,PRAIRIE,360
30081,RAVALLI,6031
30083,RICHLAND,573
30085,ROOSEVELT,349
30087,ROSEBUD,697
30089,SANDERS,5335
30091,SHERIDAN,93
30093,SILVER BOW,229
30095,STILLWATER,896
30097,SWEET GRASS,289
30099,TETON,69282
30101,TOOLE,26229
30103,TREASURE,82
30105,VALLEY,442
30107,WHEATLAND,248
30109,WIBAUX,254
30111,YELLOWSTONE,20552
