FIPS,COUNTY_NAME,VALUE
30001,BEAVERHEAD,54
30007,BROADWATER,18
30009,CARBON,244
30017,CUSTER,34
30021,DAWSON,64
30027,FERGUS,35
30029,FLATHEAD,179
30031,GALLATIN,589
30039,GRANITE,13
30043,JEFFERSON,122
30047,LAKE,58
30049,LEWIS AND CLARK,54
30053,LINCOLN,15
30061,MINERAL,12
30063,MISSOULA,95
30065,MUSSELSHELL,46
30067,PARK,49
30071,PHILLIPS,40
30073,PONDERA,60
30081,RAVALLI,448
30085,ROOSEVELT,26
30087,ROSEBUD,94
30093,SILVER BOW,12
30103,TREASURE,20
30105,VALLEY,14
30107,WHEATLAND,60
30111,YELLOWSTONE,232
