FIPS,COUNTY_NAME,VALUE
30001,BEAVERHEAD,159
30003,BIG HORN,225
30005,BLAINE,287
30007,BROADWATER,100
30009,CARBON,434
30011,CARTER,76
30013,CASCADE,744
30015,CHOUTEAU,289
30021,DAWSON,296
30025,FALLON,67
30027,FERGUS,121
30029,FLATHEAD,427
30031,GALLATIN,890
30033,GARFIELD,16
30035,GLACIER,428
30039,GRANITE,38
30041,HILL,11
30043,JEFFERSON,175
30045,JUDITH BASIN,50
30047,LAKE,252
30049,LEWIS AND CLARK,534
30053,LINCOLN,90
30055,MCCONE,35
30057,MADISON,982
30061,MINERAL,32
30063,MISSOULA,199
30065,MUSSELSHELL,199
30067,PARK,189
30071,PHILLIPS,130
30073,PONDERA,88
30075,POWDER RIVER,126
30077,POWELL,50
30081,RAVALLI,868
30085,ROOSEVELT,38
30087,ROSEBUD,247
30089,SANDERS,218
30093,SILVER BOW,12
30095,STILLWATER,1651
30097,SWEET GRASS,70
30099,TETON,944
30103,TREASURE,20
30105,VALLEY,14
30107,WHEATLAND,340
30109,WIBAUX,126
30111,YELLOWSTONE,834
