FIPS,COUNTY_NAME,VALUE
30003,BIG HORN,33
30007,BROADWATER,279
30009,CARBON,154
30013,CASCADE,30135
30017,CUSTER,36
30021,DAWSON,48
30027,FERGUS,195
30029,FLATHEAD,1940
30031,GALLATIN,181
30033,GARFIELD,91
30035,GLACIER,20195
30043,JEFFERSON,85
30045,JUDITH BASIN,118
30047,LAKE,146
30051,LIBERTY,19624
30053,LINCOLN,53
30057,MADISON,97
30061,MINERAL,7
30063,MISSOULA,141
30065,MUSSELSHELL,37
30067,PARK,20
30073,PONDERA,24539
30075,POWDER RIVER,36
30077,POWELL,32
30081,RAVALLI,227
30083,RICHLAND,19
30085,ROOSEVELT,95
30087,ROSEBUD,637
30089,SANDERS,270
30093,SILVER BOW,12
30095,STILLWATER,291
30097,SWEET GRASS,90
30107,WHEATLAND,17083
