FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,7114
37003,ALEXANDER,9762
37005,ALLEGHANY,11585
37007,ANSON,5049
37009,ASHE,9825
37011,AVERY,698
37013,BEAUFORT,84
37015,BERTIE,381
37017,BLADEN,1465
37019,BRUNSWICK,536
37021,BUNCOMBE,5411
37023,BURKE,1978
37025,CABARRUS,5905
37027,CALDWELL,2727
37029,CAMDEN,96
37031,CARTERET,103
37033,CASWELL,4279
37035,CATAWBA,6110
37037,CHATHAM,15613
37039,CHEROKEE,6239
37041,CHOWAN,605
37043,CLAY,1101
37045,CLEVELAND,9728
37047,COLUMBUS,2313
37049,CRAVEN,503
37051,CUMBERLAND,934
37053,CURRITUCK,73
37057,DAVIDSON,4987
37059,DAVIE,4478
37061,DUPLIN,8297
37063,DURHAM,916
37065,EDGECOMBE,725
37067,FORSYTH,1186
37069,FRANKLIN,7614
37071,GASTON,2523
37073,GATES,102
37075,GRAHAM,630
37077,GRANVILLE,3282
37079,GREENE,672
37081,GUILFORD,4664
37083,HALIFAX,2727
37085,HARNETT,2372
37087,HAYWOOD,5022
37089,HENDERSON,1303
37091,HERTFORD,110
37093,HOKE,498
37095,HYDE,46
37097,IREDELL,20496
37099,JACKSON,736
37101,JOHNSTON,6916
37103,JONES,304
37105,LEE,1263
37107,LENOIR,1659
37109,LINCOLN,7865
37111,MCDOWELL,1347
37113,MACON,1091
37115,MADISON,2333
37117,MARTIN,627
37119,MECKLENBURG,830
37121,MITCHELL,599
37123,MONTGOMERY,3232
37125,MOORE,4783
37127,NASH,3229
37131,NORTHAMPTON,669
37133,ONSLOW,637
37135,ORANGE,4872
37137,PAMLICO,39
37139,PASQUOTANK,128
37141,PENDER,1278
37143,PERQUIMANS,241
37145,PERSON,2746
37147,PITT,867
37149,POLK,1196
37151,RANDOLPH,17482
37153,RICHMOND,1198
37155,ROBESON,1848
37157,ROCKINGHAM,6404
37159,ROWAN,10589
37161,RUTHERFORD,3207
37163,SAMPSON,8296
37165,SCOTLAND,359
37167,STANLY,6091
37169,STOKES,6825
37171,SURRY,13771
37173,SWAIN,183
37175,TRANSYLVANIA,600
37177,TYRRELL,80
37179,UNION,8331
37181,VANCE,1339
37183,WAKE,1753
37185,WARREN,2648
37187,WASHINGTON,584
37189,WATAUGA,7652
37191,WAYNE,4283
37193,WILKES,15108
37195,WILSON,859
37197,YADKIN,7328
37199,YANCEY,1703
