FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,1462
37003,ALEXANDER,1107
37005,ALLEGHANY,1014
37009,ASHE,87
37011,AVERY,9
37021,BUNCOMBE,880
37023,BURKE,62
37025,CABARRUS,647
37027,CALDWELL,5
37033,CASWELL,810
37035,CATAWBA,660
37037,CHATHAM,722
37045,CLEVELAND,715
37057,DAVIDSON,1293
37059,DAVIE,304
37061,DUPLIN,16
37067,FORSYTH,10
37069,FRANKLIN,30
37081,GUILFORD,1197
37087,HAYWOOD,1287
37097,IREDELL,10769
37099,JACKSON,9
37109,LINCOLN,3259
37111,MCDOWELL,337
37113,MACON,9
37115,MADISON,75
37121,MITCHELL,18
37127,NASH,5
37133,ONSLOW,3
37135,ORANGE,550
37141,PENDER,11
37149,POLK,132
37151,RANDOLPH,7774
37153,RICHMOND,3
37155,ROBESON,4
37157,ROCKINGHAM,382
37159,ROWAN,1411
37161,RUTHERFORD,18
37167,STANLY,371
37171,SURRY,146
37173,SWAIN,3
37175,TRANSYLVANIA,5
37179,UNION,103
37183,WAKE,452
37193,WILKES,1432
37199,YANCEY,47
