FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,8233
37003,ALEXANDER,8965
37005,ALLEGHANY,6796
37007,ANSON,4268
37009,ASHE,7529
37011,AVERY,964
37013,BEAUFORT,263
37015,BERTIE,344
37017,BLADEN,2569
37019,BRUNSWICK,834
37021,BUNCOMBE,8353
37023,BURKE,2850
37025,CABARRUS,7394
37027,CALDWELL,3478
37029,CAMDEN,203
37031,CARTERET,248
37033,CASWELL,4785
37035,CATAWBA,8060
37037,CHATHAM,16790
37039,CHEROKEE,3342
37041,CHOWAN,242
37043,CLAY,1229
37045,CLEVELAND,11539
37047,COLUMBUS,3056
37049,CRAVEN,724
37051,CUMBERLAND,2070
37053,CURRITUCK,140
37057,DAVIDSON,7107
37059,DAVIE,6186
37061,DUPLIN,11863
37063,DURHAM,834
37065,EDGECOMBE,1135
37067,FORSYTH,2478
37069,FRANKLIN,5908
37071,GASTON,4088
37073,GATES,305
37075,GRAHAM,870
37077,GRANVILLE,4355
37079,GREENE,899
37081,GUILFORD,5871
37083,HALIFAX,2543
37085,HARNETT,4125
37087,HAYWOOD,6078
37089,HENDERSON,1895
37091,HERTFORD,151
37093,HOKE,759
37095,HYDE,146
37097,IREDELL,23845
37099,JACKSON,891
37101,JOHNSTON,6465
37103,JONES,526
37105,LEE,1981
37107,LENOIR,2037
37109,LINCOLN,8070
37111,MCDOWELL,1693
37113,MACON,2032
37115,MADISON,3749
37117,MARTIN,867
37119,MECKLENBURG,1024
37121,MITCHELL,1016
37123,MONTGOMERY,3308
37125,MOORE,6119
37127,NASH,2970
37131,NORTHAMPTON,889
37133,ONSLOW,1426
37135,ORANGE,5658
37137,PAMLICO,98
37139,PASQUOTANK,209
37141,PENDER,1588
37143,PERQUIMANS,419
37145,PERSON,4259
37147,PITT,1638
37149,POLK,1903
37151,RANDOLPH,24189
37153,RICHMOND,1538
37155,ROBESON,3558
37157,ROCKINGHAM,6024
37159,ROWAN,10115
37161,RUTHERFORD,4607
37163,SAMPSON,13134
37165,SCOTLAND,532
37167,STANLY,8597
37169,STOKES,4902
37171,SURRY,11980
37173,SWAIN,351
37175,TRANSYLVANIA,1029
37177,TYRRELL,327
37179,UNION,11156
37181,VANCE,1432
37183,WAKE,2493
37185,WARREN,3944
37187,WASHINGTON,150
37189,WATAUGA,5211
37191,WAYNE,4157
37193,WILKES,15227
37195,WILSON,935
37197,YADKIN,9485
37199,YANCEY,2683
