FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,252512
37003,ALEXANDER,4460440
37007,ANSON,9028434
37015,BERTIE,5863743
37017,BLADEN,3715465
37021,BUNCOMBE,2944
37023,BURKE,2030658
37025,CABARRUS,758015
37027,CALDWELL,1390740
37031,CARTERET,1805
37035,CATAWBA,1770054
37037,CHATHAM,4068523
37045,CLEVELAND,3995709
37047,COLUMBUS,440305
37051,CUMBERLAND,468985
37057,DAVIDSON,783693
37059,DAVIE,145
37061,DUPLIN,15943541
37063,DURHAM,240
37065,EDGECOMBE,2367650
37067,FORSYTH,25
37069,FRANKLIN,164848
37071,GASTON,611532
37073,GATES,1474245
37077,GRANVILLE,400
37079,GREENE,602000
37085,HARNETT,4245420
37087,HAYWOOD,510
37089,HENDERSON,225
37091,HERTFORD,2140814
37093,HOKE,758230
37097,IREDELL,331605
37099,JACKSON,110
37101,JOHNSTON,1136404
37103,JONES,2354080
37105,LEE,1526113
37107,LENOIR,1599628
37109,LINCOLN,1219121
37111,MCDOWELL,356646
37113,MACON,1260
37115,MADISON,3016
37117,MARTIN,356638
37119,MECKLENBURG,114
37121,MITCHELL,260
37123,MONTGOMERY,5012406
37125,MOORE,5173280
37127,NASH,1219115
37129,NEW HANOVER,180
37131,NORTHAMPTON,1514480
37133,ONSLOW,533004
37137,PAMLICO,48
37141,PENDER,1572741
37143,PERQUIMANS,1243836
37147,PITT,2738386
37149,POLK,170
37151,RANDOLPH,6999828
37153,RICHMOND,6008868
37155,ROBESON,6953832
37157,ROCKINGHAM,330
37159,ROWAN,687522
37161,RUTHERFORD,1921650
37163,SAMPSON,5969281
37165,SCOTLAND,3319166
37167,STANLY,1319912
37169,STOKES,720031
37171,SURRY,6206473
37173,SWAIN,13
37175,TRANSYLVANIA,1550
37179,UNION,9119297
37183,WAKE,5509
37191,WAYNE,2046595
37193,WILKES,11112089
37197,YADKIN,1654782
37199,YANCEY,798
