FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,370579
37003,ALEXANDER,756772
37005,ALLEGHANY,800
37007,ANSON,305080
37009,ASHE,1333
37011,AVERY,666
37013,BEAUFORT,665
37019,BRUNSWICK,1758
37021,BUNCOMBE,15863
37023,BURKE,58161
37027,CALDWELL,1134
37029,CAMDEN,848
37031,CARTERET,1079
37033,CASWELL,245815
37035,CATAWBA,69831
37037,CHATHAM,252773
37043,CLAY,246
37045,CLEVELAND,92972
37047,COLUMBUS,1606
37049,CRAVEN,887
37051,CUMBERLAND,1703
37053,CURRITUCK,307
37057,DAVIDSON,118545
37059,DAVIE,138563
37061,DUPLIN,424677
37063,DURHAM,3661
37065,EDGECOMBE,97221
37067,FORSYTH,1998
37069,FRANKLIN,139540
37071,GASTON,1809
37075,GRAHAM,482
37077,GRANVILLE,3031
37079,GREENE,166
37081,GUILFORD,304100
37083,HALIFAX,89256
37085,HARNETT,2468
37087,HAYWOOD,1835
37089,HENDERSON,3256
37097,IREDELL,526910
37099,JACKSON,495
37103,JONES,587
37107,LENOIR,120701
37109,LINCOLN,3578
37111,MCDOWELL,15904
37113,MACON,1771
37115,MADISON,2886
37117,MARTIN,114
37119,MECKLENBURG,1130
37121,MITCHELL,442
37123,MONTGOMERY,104949
37125,MOORE,33235
37127,NASH,283502
37129,NEW HANOVER,234
37133,ONSLOW,3194
37135,ORANGE,160739
37137,PAMLICO,360
37139,PASQUOTANK,252
37143,PERQUIMANS,113
37145,PERSON,1149
37147,PITT,1015
37149,POLK,1585
37151,RANDOLPH,623000
37155,ROBESON,1847
37159,ROWAN,57503
37161,RUTHERFORD,61072
37163,SAMPSON,313787
37165,SCOTLAND,56
37169,STOKES,112398
37171,SURRY,611337
37173,SWAIN,278
37175,TRANSYLVANIA,1103
37181,VANCE,1196
37183,WAKE,8648
37185,WARREN,11369
37187,WASHINGTON,300
37189,WATAUGA,2617
37193,WILKES,421297
37195,WILSON,285
37197,YADKIN,1694328
37199,YANCEY,671
