FIPS,COUNTY_NAME,VALUE
37005,ALLEGHANY,35
37007,ANSON,36
37009,ASHE,36
37019,BRUNSWICK,167
37021,BUNCOMBE,129
37023,BURKE,86
37025,CABARRUS,64
37027,CALDWELL,68
37029,CAMDEN,50
37031,CARTERET,52
37033,CASWELL,27
37035,CATAWBA,47
37037,CHATHAM,78
37039,CHEROKEE,88
37045,CLEVELAND,6
37047,COLUMBUS,71
37049,CRAVEN,18
37051,CUMBERLAND,341
37057,DAVIDSON,50
37061,DUPLIN,210
37063,DURHAM,964
37065,EDGECOMBE,6
37069,FRANKLIN,310
37071,GASTON,12
37073,GATES,60
37075,GRAHAM,62
37077,GRANVILLE,139
37081,GUILFORD,200
37085,HARNETT,567
37087,HAYWOOD,122
37089,HENDERSON,228
37093,HOKE,68
37101,JOHNSTON,451
37103,JONES,34
37105,LEE,53
37109,LINCOLN,134
37111,MCDOWELL,152
37115,MADISON,323
37119,MECKLENBURG,48
37121,MITCHELL,30
37123,MONTGOMERY,40
37125,MOORE,171
37127,NASH,85
37133,ONSLOW,135
37135,ORANGE,876
37137,PAMLICO,310
37141,PENDER,183
37145,PERSON,121
37147,PITT,33
37149,POLK,3
37151,RANDOLPH,107
37155,ROBESON,216
37157,ROCKINGHAM,57
37159,ROWAN,278
37161,RUTHERFORD,241
37163,SAMPSON,960
37167,STANLY,64
37169,STOKES,8
37171,SURRY,70
37175,TRANSYLVANIA,68
37179,UNION,1028
37181,VANCE,186
37183,WAKE,476
37185,WARREN,80
37189,WATAUGA,54
37191,WAYNE,278
37193,WILKES,222
37195,WILSON,99
37199,YANCEY,62
