FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,9
37021,BUNCOMBE,99
37025,CABARRUS,158
37033,CASWELL,24
37035,CATAWBA,25
37037,CHATHAM,64
37043,CLAY,42
37045,CLEVELAND,26
37057,DAVIDSON,32
37065,EDGECOMBE,12
37077,GRANVILLE,36
37081,GUILFORD,47
37085,HARNETT,116
37111,MCDOWELL,28
37113,MACON,51
37115,MADISON,61
37125,MOORE,53
37135,ORANGE,46
37147,PITT,14
37151,RANDOLPH,12
37153,RICHMOND,49
37155,ROBESON,10
37161,RUTHERFORD,117
37167,STANLY,63
37169,STOKES,49
37171,SURRY,74
37179,UNION,56
37183,WAKE,129
37193,WILKES,27
37197,YADKIN,20
