FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,1513
37003,ALEXANDER,291
37005,ALLEGHANY,123
37007,ANSON,160
37009,ASHE,913
37013,BEAUFORT,150
37015,BERTIE,35
37017,BLADEN,220
37019,BRUNSWICK,176
37021,BUNCOMBE,743
37023,BURKE,443
37025,CABARRUS,476
37027,CALDWELL,266
37031,CARTERET,277
37033,CASWELL,397
37035,CATAWBA,609
37037,CHATHAM,1116
37039,CHEROKEE,574
37045,CLEVELAND,1049
37047,COLUMBUS,142
37049,CRAVEN,211
37051,CUMBERLAND,305
37053,CURRITUCK,18
37057,DAVIDSON,867
37059,DAVIE,391
37063,DURHAM,777
37065,EDGECOMBE,332
37067,FORSYTH,673
37069,FRANKLIN,761
37071,GASTON,768
37077,GRANVILLE,291
37079,GREENE,45
37081,GUILFORD,1034
37083,HALIFAX,148
37085,HARNETT,1095
37087,HAYWOOD,822
37089,HENDERSON,632
37093,HOKE,338
37095,HYDE,24
37099,JACKSON,358
37101,JOHNSTON,1477
37107,LENOIR,229
37109,LINCOLN,979
37111,MCDOWELL,119
37113,MACON,158
37115,MADISON,580
37119,MECKLENBURG,182
37121,MITCHELL,154
37123,MONTGOMERY,346
37125,MOORE,2574
37127,NASH,583
37131,NORTHAMPTON,133
37133,ONSLOW,175
37135,ORANGE,328
37137,PAMLICO,70
37139,PASQUOTANK,137
37141,PENDER,342
37143,PERQUIMANS,133
37145,PERSON,133
37147,PITT,546
37149,POLK,254
37151,RANDOLPH,1842
37153,RICHMOND,228
37155,ROBESON,209
37157,ROCKINGHAM,641
37159,ROWAN,1443
37161,RUTHERFORD,821
37163,SAMPSON,909
37165,SCOTLAND,84
37167,STANLY,738
37169,STOKES,869
37171,SURRY,877
37175,TRANSYLVANIA,470
37179,UNION,1043
37181,VANCE,508
37183,WAKE,1355
37189,WATAUGA,710
37193,WILKES,795
37195,WILSON,42
37197,YADKIN,335
37199,YANCEY,91
