FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,1548
37003,ALEXANDER,395
37005,ALLEGHANY,161
37007,ANSON,160
37009,ASHE,1018
37011,AVERY,159
37013,BEAUFORT,218
37015,BERTIE,35
37017,BLADEN,243
37019,BRUNSWICK,211
37021,BUNCOMBE,1489
37023,BURKE,628
37025,CABARRUS,741
37027,CALDWELL,369
37029,CAMDEN,68
37031,CARTERET,321
37033,CASWELL,465
37035,CATAWBA,665
37037,CHATHAM,1717
37039,CHEROKEE,620
37043,CLAY,73
37045,CLEVELAND,1555
37047,COLUMBUS,202
37049,CRAVEN,262
37051,CUMBERLAND,359
37053,CURRITUCK,18
37057,DAVIDSON,1113
37059,DAVIE,448
37061,DUPLIN,698
37063,DURHAM,949
37065,EDGECOMBE,344
37067,FORSYTH,1028
37069,FRANKLIN,859
37071,GASTON,872
37073,GATES,161
37075,GRAHAM,142
37077,GRANVILLE,423
37079,GREENE,45
37081,GUILFORD,1129
37083,HALIFAX,148
37085,HARNETT,1309
37087,HAYWOOD,907
37089,HENDERSON,657
37093,HOKE,438
37095,HYDE,24
37097,IREDELL,816
37099,JACKSON,358
37101,JOHNSTON,1852
37103,JONES,106
37105,LEE,228
37107,LENOIR,229
37109,LINCOLN,1254
37111,MCDOWELL,267
37113,MACON,247
37115,MADISON,1344
37119,MECKLENBURG,202
37121,MITCHELL,209
37123,MONTGOMERY,346
37125,MOORE,2772
37127,NASH,704
37131,NORTHAMPTON,133
37133,ONSLOW,244
37135,ORANGE,493
37137,PAMLICO,70
37139,PASQUOTANK,137
37141,PENDER,444
37143,PERQUIMANS,169
37145,PERSON,151
37147,PITT,620
37149,POLK,294
37151,RANDOLPH,2253
37153,RICHMOND,314
37155,ROBESON,219
37157,ROCKINGHAM,723
37159,ROWAN,1726
37161,RUTHERFORD,1042
37163,SAMPSON,939
37165,SCOTLAND,84
37167,STANLY,923
37169,STOKES,998
37171,SURRY,1098
37173,SWAIN,291
37175,TRANSYLVANIA,606
37179,UNION,1318
37181,VANCE,606
37183,WAKE,1719
37185,WARREN,124
37187,WASHINGTON,162
37189,WATAUGA,715
37191,WAYNE,1164
37193,WILKES,894
37195,WILSON,68
37197,YADKIN,422
37199,YANCEY,148
