FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,166
37003,ALEXANDER,91
37005,ALLEGHANY,159
37007,ANSON,56359
37011,AVERY,10
37013,BEAUFORT,35910
37017,BLADEN,713011
37019,BRUNSWICK,76368
37021,BUNCOMBE,743
37023,BURKE,235
37029,CAMDEN,6
37031,CARTERET,88
37033,CASWELL,184
37035,CATAWBA,301
37039,CHEROKEE,142
37043,CLAY,12
37045,CLEVELAND,144
37047,COLUMBUS,230315
37049,CRAVEN,65030
37051,CUMBERLAND,103041
37057,DAVIDSON,239
37059,DAVIE,58
37061,DUPLIN,1957364
37063,DURHAM,193
37065,EDGECOMBE,99598
37067,FORSYTH,151
37069,FRANKLIN,25486
37071,GASTON,154
37073,GATES,24195
37075,GRAHAM,36
37077,GRANVILLE,981
37079,GREENE,329337
37081,GUILFORD,4198
37083,HALIFAX,49445
37085,HARNETT,82592
37087,HAYWOOD,504
37089,HENDERSON,73
37093,HOKE,83331
37097,IREDELL,97
37101,JOHNSTON,194782
37103,JONES,306594
37107,LENOIR,286573
37109,LINCOLN,815
37111,MCDOWELL,121
37113,MACON,123
37115,MADISON,215
37121,MITCHELL,77
37127,NASH,54804
37131,NORTHAMPTON,108889
37133,ONSLOW,187912
37139,PASQUOTANK,810
37141,PENDER,269727
37145,PERSON,3260
37147,PITT,242212
37149,POLK,154
37151,RANDOLPH,20303
37153,RICHMOND,61471
37155,ROBESON,330146
37161,RUTHERFORD,361
37163,SAMPSON,1884585
37173,SWAIN,28
37175,TRANSYLVANIA,45
37181,VANCE,13
37183,WAKE,695
37185,WARREN,36217
37189,WATAUGA,66
37191,WAYNE,548561
37193,WILKES,55
37199,YANCEY,277
