FIPS,COUNTY_NAME,VALUE
37001,ALAMANCE,18
37003,ALEXANDER,30
37005,ALLEGHANY,300
37007,ANSON,540949
37009,ASHE,22
37013,BEAUFORT,11
37017,BLADEN,369800
37019,BRUNSWICK,90
37021,BUNCOMBE,14
37023,BURKE,127
37027,CALDWELL,46
37039,CHEROKEE,77
37043,CLAY,4
37045,CLEVELAND,116252
37051,CUMBERLAND,242686
37057,DAVIDSON,39
37061,DUPLIN,1977668
37063,DURHAM,122
37067,FORSYTH,10
37069,FRANKLIN,43
37071,GASTON,36
37077,GRANVILLE,36
37079,GREENE,461100
37081,GUILFORD,48
37087,HAYWOOD,13
37089,HENDERSON,84
37093,HOKE,68900
37097,IREDELL,52
37101,JOHNSTON,262048
37103,JONES,185359
37107,LENOIR,570035
37109,LINCOLN,618
37113,MACON,11
37115,MADISON,88
37123,MONTGOMERY,16
37125,MOORE,16
37127,NASH,41
37129,NEW HANOVER,6
37133,ONSLOW,851652
37135,ORANGE,166
37141,PENDER,143166
37145,PERSON,12
37151,RANDOLPH,117
37153,RICHMOND,39
37157,ROCKINGHAM,15
37159,ROWAN,76
37161,RUTHERFORD,157
37163,SAMPSON,4594777
37167,STANLY,416636
37171,SURRY,16
37179,UNION,2750994
37181,VANCE,44
37183,WAKE,1992
37185,WARREN,48
37191,WAYNE,2102845
37193,WILKES,14
