FIPS,COUNTY_NAME,VALUE
38001,ADAMS,29950
38003,BARNES,34300
38005,BENSON,30315
38007,BILLINGS,31163
38009,BOTTINEAU,14081
38011,BOWMAN,38521
38013,BURKE,15980
38015,BURLEIGH,83872
38017,CASS,12712
38019,CAVALIER,2099
38021,DICKEY,52428
38023,DIVIDE,13828
38025,DUNN,70169
38027,EDDY,29310
38029,EMMONS,68889
38031,FOSTER,23083
38033,GOLDEN VALLEY,32816
38035,GRAND FORKS,17058
38037,GRANT,65965
38039,GRIGGS,17730
38041,HETTINGER,15237
38043,KIDDER,68114
38045,LA MOURE,28102
38047,LOGAN,77256
38049,MCHENRY,83726
38051,MCINTOSH,53606
38053,MCKENZIE,78111
38055,MCLEAN,32256
38057,MERCER,45225
38059,MORTON,99680
38061,MOUNTRAIL,40006
38063,NELSON,9912
38065,OLIVER,33130
38067,PEMBINA,12127
38069,PIERCE,22342
38071,RAMSEY,4181
38073,RANSOM,44432
38075,RENVILLE,3979
38077,RICHLAND,31293
38079,ROLETTE,19331
38081,SARGENT,23617
38083,SHERIDAN,30703
38085,SIOUX,46366
38087,SLOPE,35665
38089,STARK,33352
38091,STEELE,6133
38093,STUTSMAN,70314
38095,TOWNER,9235
38097,TRAILL,3399
38099,WALSH,18927
38101,WARD,24482
38103,WELLS,27441
38105,WILLIAMS,19733
