FIPS,COUNTY_NAME,VALUE
38001,ADAMS,1370
38003,BARNES,2950
38005,BENSON,371
38007,BILLINGS,1880
38011,BOWMAN,5550
38015,BURLEIGH,4082
38017,CASS,1833
38021,DICKEY,4390
38025,DUNN,210
38027,EDDY,1938
38029,EMMONS,3326
38031,FOSTER,2092
38033,GOLDEN VALLEY,3660
38037,GRANT,1081
38039,GRIGGS,940
38043,KIDDER,2016
38045,LA MOURE,2361
38047,LOGAN,8230
38049,MCHENRY,1053
38053,MCKENZIE,316
38055,MCLEAN,2316
38057,MERCER,620
38059,MORTON,3745
38067,PEMBINA,287
38069,PIERCE,572
38073,RANSOM,1072
38077,RICHLAND,4224
38079,ROLETTE,933
38081,SARGENT,3808
38089,STARK,521
38093,STUTSMAN,4008
38095,TOWNER,585
38097,TRAILL,111
38099,WALSH,492
38103,WELLS,1834
