FIPS,COUNTY_NAME,VALUE
38001,ADAMS,273
38003,BARNES,708
38005,BENSON,737
38007,BILLINGS,541
38009,BOTTINEAU,697
38011,BOWMAN,546
38013,BURKE,232
38015,BURLEIGH,2650
38017,CASS,270
38019,CAVALIER,127
38021,DICKEY,203
38023,DIVIDE,216
38025,DUNN,2084
38027,EDDY,167
38029,EMMONS,1064
38031,FOSTER,116
38033,GOLDEN VALLEY,764
38035,GRAND FORKS,357
38037,GRANT,412
38039,GRIGGS,187
38041,HETTINGER,164
38043,KIDDER,313
38045,LA MOURE,272
38047,LOGAN,256
38049,MCHENRY,927
38051,MCINTOSH,380
38053,MCKENZIE,1513
38055,MCLEAN,651
38057,MERCER,770
38059,MORTON,1392
38061,MOUNTRAIL,951
38063,NELSON,79
38065,OLIVER,552
38067,PEMBINA,133
38069,PIERCE,278
38071,RAMSEY,183
38073,RANSOM,592
38075,RENVILLE,274
38077,RICHLAND,423
38079,ROLETTE,777
38081,SARGENT,236
38083,SHERIDAN,130
38085,SIOUX,720
38087,SLOPE,266
38089,STARK,1018
38091,STEELE,252
38093,STUTSMAN,823
38095,TOWNER,292
38097,TRAILL,182
38099,WALSH,172
38101,WARD,839
38103,WELLS,397
38105,WILLIAMS,865
