FIPS,COUNTY_NAME,VALUE
31001,ADAMS,57233
31003,ANTELOPE,106618
31005,ARTHUR,17060
31007,BANNER,34815
31009,BLAINE,21881
31011,BOONE,70704
31013,BOX BUTTE,33080
31015,BOYD,38231
31017,BROWN,105952
31019,BUFFALO,55669
31021,BURT,29885
31023,BUTLER,17221
31025,CASS,3702
31027,CEDAR,80427
31029,CHASE,112666
31031,CHERRY,121025
31033,CHEYENNE,35189
31035,CLAY,50024
31037,COLFAX,65242
31039,CUMING,309992
31041,CUSTER,232977
31043,DAKOTA,2672
31045,DAWES,28564
31047,DAWSON,195756
31049,DEUEL,21250
31051,DIXON,27232
31053,DODGE,36055
31055,DOUGLAS,744
31057,DUNDY,74265
31059,FILLMORE,18446
31061,FRANKLIN,10370
31063,FRONTIER,30247
31065,FURNAS,30995
31067,GAGE,21511
31069,GARDEN,34840
31071,GARFIELD,34206
31073,GOSPER,21924
31075,GRANT,12712
31077,GREELEY,40234
31079,HALL,53898
31081,HAMILTON,27972
31083,HARLAN,33525
31085,HAYES,44213
31087,HITCHCOCK,8621
31089,HOLT,123594
31091,HOOKER,10359
31093,HOWARD,62709
31095,JEFFERSON,20396
31097,JOHNSON,6353
31099,KEARNEY,87164
31101,KEITH,35568
31103,KEYA PAHA,25847
31105,KIMBALL,8267
31107,KNOX,87935
31109,LANCASTER,9151
31111,LINCOLN,224020
31113,LOGAN,11817
31115,LOUP,17019
31117,MCPHERSON,17811
31119,MADISON,56447
31121,MERRICK,39594
31123,MORRILL,114786
31125,NANCE,19917
31127,NEMAHA,4141
31129,NUCKOLLS,27159
31131,OTOE,4546
31133,PAWNEE,15175
31135,PERKINS,21892
31137,PHELPS,176344
31139,PIERCE,50636
31141,PLATTE,121068
31143,POLK,65289
31145,RED WILLOW,47884
31147,RICHARDSON,15268
31149,ROCK,43183
31151,SALINE,18879
31153,SARPY,2469
31155,SAUNDERS,45114
31157,SCOTTS BLUFF,86805
31159,SEWARD,32045
31161,SHERIDAN,65681
31163,SHERMAN,39721
31165,SIOUX,59144
31167,STANTON,45000
31169,THAYER,32038
31171,THOMAS,12454
31173,THURSTON,37128
31175,VALLEY,78590
31177,WASHINGTON,14563
31179,WAYNE,27845
31181,WEBSTER,67166
31183,WHEELER,109153
31185,YORK,39666
