FIPS,COUNTY_NAME,VALUE
31003,ANTELOPE,4072
31009,BLAINE,28
31015,BOYD,440
31017,BROWN,11
31021,BURT,4
31025,CASS,30
31027,CEDAR,3756
31037,COLFAX,492
31039,CUMING,1844
31045,DAWES,5
31049,DEUEL,12
31055,DOUGLAS,178
31063,FRONTIER,6
31067,GAGE,960
31089,HOLT,668
31091,HOOKER,3
31093,HOWARD,8
31095,JEFFERSON,3180
31097,JOHNSON,6
31101,KEITH,13
31103,KEYA PAHA,824
31107,KNOX,1996
31109,LANCASTER,2453
31111,LINCOLN,49
31113,LOGAN,6
31119,MADISON,1850
31123,MORRILL,4
31133,PAWNEE,18
31137,PHELPS,126
31139,PIERCE,90
31141,PLATTE,2612
31147,RICHARDSON,944
31151,SALINE,360
31155,SAUNDERS,29
31157,SCOTTS BLUFF,33
31159,SEWARD,2154
31161,SHERIDAN,10
31163,SHERMAN,14
31165,SIOUX,28
31169,THAYER,836
31173,THURSTON,770
31177,WASHINGTON,1490
31179,WAYNE,7708
