FIPS,COUNTY_NAME,VALUE
31003,ANTELOPE,280
31011,BOONE,105
31019,BUFFALO,60
31025,CASS,322
31027,CEDAR,336
31031,CHERRY,50
31033,CHEYENNE,164
31035,CLAY,38
31037,COLFAX,191
31045,DAWES,90
31047,DAWSON,1054
31053,DODGE,722
31055,DOUGLAS,318
31067,GAGE,132635
31077,GREELEY,72
31079,HALL,160
31081,HAMILTON,300048
31089,HOLT,53
31107,KNOX,350
31121,MERRICK,490
31131,OTOE,236
31133,PAWNEE,575
31141,PLATTE,530
31143,POLK,235
31153,SARPY,571
31155,SAUNDERS,581
31157,SCOTTS BLUFF,254
31159,SEWARD,150
31173,THURSTON,440
31177,WASHINGTON,1265
