FIPS,COUNTY_NAME,VALUE
31001,ADAMS,365
31003,ANTELOPE,652
31005,ARTHUR,72
31007,BANNER,523
31009,BLAINE,73
31011,BOONE,370
31013,BOX BUTTE,631
31015,BOYD,330
31017,BROWN,515
31019,BUFFALO,1710
31021,BURT,733
31025,CASS,1831
31027,CEDAR,2032
31029,CHASE,198
31031,CHERRY,605
31033,CHEYENNE,588
31037,COLFAX,325
31039,CUMING,1112
31041,CUSTER,1535
31043,DAKOTA,1018
31045,DAWES,777
31047,DAWSON,1015
31049,DEUEL,384
31053,DODGE,2044
31055,DOUGLAS,994
31057,DUNDY,955
31059,FILLMORE,372
31061,FRANKLIN,789
31063,FRONTIER,552
31065,FURNAS,306
31067,GAGE,1443351
31069,GARDEN,157
31071,GARFIELD,655
31073,GOSPER,272
31075,GRANT,141
31079,HALL,835
31081,HAMILTON,594
31083,HARLAN,254
31085,HAYES,81
31087,HITCHCOCK,210
31089,HOLT,1901
31093,HOWARD,1310
31097,JOHNSON,420
31099,KEARNEY,131
31101,KEITH,71
31103,KEYA PAHA,207
31105,KIMBALL,558
31109,LANCASTER,8365
31111,LINCOLN,1813
31113,LOGAN,139
31115,LOUP,63
31117,MCPHERSON,117
31119,MADISON,1340
31121,MERRICK,1047
31123,MORRILL,613
31125,NANCE,462
31127,NEMAHA,817
31129,NUCKOLLS,501
31131,OTOE,1601
31133,PAWNEE,740
31135,PERKINS,784
31137,PHELPS,223
31139,PIERCE,1094
31141,PLATTE,2068
31145,RED WILLOW,646
31147,RICHARDSON,484
31149,ROCK,99
31151,SALINE,391
31153,SARPY,1310
31155,SAUNDERS,2768
31157,SCOTTS BLUFF,1259
31159,SEWARD,1818
31161,SHERIDAN,511
31163,SHERMAN,113
31165,SIOUX,365
31167,STANTON,607
31169,THAYER,398
31173,THURSTON,246
31175,VALLEY,666
31177,WASHINGTON,2988
31179,WAYNE,814
31181,WEBSTER,654
31183,WHEELER,149
31185,YORK,540
