FIPS,COUNTY_NAME,VALUE
31001,ADAMS,7
31005,ARTHUR,16
31011,BOONE,90
31013,BOX BUTTE,36
31017,BROWN,36
31019,BUFFALO,86
31021,BURT,86
31023,BUTLER,332
31025,CASS,56
31033,CHEYENNE,117
31035,CLAY,167
31039,CUMING,86
31041,CUSTER,91
31043,DAKOTA,9
31045,DAWES,30
31047,DAWSON,10
31049,DEUEL,30
31053,DODGE,159
31055,DOUGLAS,135
31059,FILLMORE,48
31061,FRANKLIN,58
31063,FRONTIER,48
31067,GAGE,100
31079,HALL,37
31081,HAMILTON,60
31083,HARLAN,190
31089,HOLT,190
31093,HOWARD,80
31101,KEITH,21
31105,KIMBALL,48
31107,KNOX,88
31109,LANCASTER,132
31111,LINCOLN,50
31119,MADISON,21
31121,MERRICK,54
31123,MORRILL,34
31129,NUCKOLLS,102
31131,OTOE,48
31135,PERKINS,78
31141,PLATTE,130
31145,RED WILLOW,83
31147,RICHARDSON,6
31153,SARPY,80
31155,SAUNDERS,258
31157,SCOTTS BLUFF,94
31159,SEWARD,84
31163,SHERMAN,59
31167,STANTON,31
31169,THAYER,10
31175,VALLEY,17
31177,WASHINGTON,180
31179,WAYNE,20
31181,WEBSTER,26
