FIPS,COUNTY_NAME,VALUE
31001,ADAMS,14
31003,ANTELOPE,15
31007,BANNER,12
31011,BOONE,8
31013,BOX BUTTE,8
31017,BROWN,14
31019,BUFFALO,79
31021,BURT,11
31023,BUTLER,45
31025,CASS,20
31027,CEDAR,16
31029,CHASE,113
31031,CHERRY,51
31033,CHEYENNE,22
31035,CLAY,19
31037,COLFAX,20
31039,CUMING,21
31041,CUSTER,70
31043,DAKOTA,29
31045,DAWES,35
31047,DAWSON,33
31051,DIXON,25
31053,DODGE,11
31055,DOUGLAS,25
31057,DUNDY,14
31061,FRANKLIN,20
31063,FRONTIER,28
31065,FURNAS,10
31067,GAGE,48
31069,GARDEN,41
31071,GARFIELD,15
31073,GOSPER,23
31075,GRANT,6
31077,GREELEY,11
31079,HALL,54
31081,HAMILTON,74
31083,HARLAN,52
31085,HAYES,5
31089,HOLT,22
31091,HOOKER,12
31095,JEFFERSON,17
31099,KEARNEY,20
31101,KEITH,34
31103,KEYA PAHA,9
31105,KIMBALL,22
31107,KNOX,17
31109,LANCASTER,157
31111,LINCOLN,50
31113,LOGAN,13
31115,LOUP,12
31119,MADISON,5
31121,MERRICK,32
31123,MORRILL,17
31127,NEMAHA,4
31129,NUCKOLLS,17
31131,OTOE,71
31135,PERKINS,20
31137,PHELPS,22
31139,PIERCE,29
31141,PLATTE,23
31145,RED WILLOW,12
31147,RICHARDSON,43
31151,SALINE,17
31153,SARPY,39
31155,SAUNDERS,78
31157,SCOTTS BLUFF,92
31159,SEWARD,56
31161,SHERIDAN,13
31163,SHERMAN,12
31165,SIOUX,22
31167,STANTON,24
31169,THAYER,28
31171,THOMAS,7
31175,VALLEY,22
31177,WASHINGTON,50
31179,WAYNE,15
31181,WEBSTER,63
31185,YORK,10
