FIPS,COUNTY_NAME,VALUE
31001,ADAMS,172
31003,ANTELOPE,151
31005,ARTHUR,101
31007,BANNER,340
31011,BOONE,186
31013,BOX BUTTE,124
31015,BOYD,16
31017,BROWN,28
31019,BUFFALO,1490
31021,BURT,927
31023,BUTLER,447
31025,CASS,360
31031,CHERRY,120
31033,CHEYENNE,79
31035,CLAY,123
31037,COLFAX,390
31039,CUMING,426
31041,CUSTER,1040
31043,DAKOTA,116
31045,DAWES,611
31047,DAWSON,405
31049,DEUEL,216
31051,DIXON,41
31053,DODGE,233
31055,DOUGLAS,322
31059,FILLMORE,130
31061,FRANKLIN,126
31063,FRONTIER,12
31065,FURNAS,532
31067,GAGE,182
31069,GARDEN,50
31071,GARFIELD,24
31073,GOSPER,280
31079,HALL,180
31081,HAMILTON,267
31083,HARLAN,135
31087,HITCHCOCK,68
31089,HOLT,873
31093,HOWARD,173
31095,JEFFERSON,665
31097,JOHNSON,322
31099,KEARNEY,227
31101,KEITH,168
31103,KEYA PAHA,194
31105,KIMBALL,111
31107,KNOX,1053
31109,LANCASTER,1018
31111,LINCOLN,1647
31113,LOGAN,6
31119,MADISON,85
31121,MERRICK,313
31123,MORRILL,184
31125,NANCE,55
31127,NEMAHA,252
31129,NUCKOLLS,400
31131,OTOE,806
31133,PAWNEE,260
31135,PERKINS,120
31139,PIERCE,172
31141,PLATTE,762
31143,POLK,13
31145,RED WILLOW,313
31147,RICHARDSON,518
31149,ROCK,204
31151,SALINE,144
31153,SARPY,182
31155,SAUNDERS,1195
31157,SCOTTS BLUFF,839
31159,SEWARD,794
31161,SHERIDAN,549
31163,SHERMAN,1156
31165,SIOUX,74
31167,STANTON,48
31169,THAYER,112
31171,THOMAS,82
31173,THURSTON,73
31175,VALLEY,232
31177,WASHINGTON,194
31179,WAYNE,161
31181,WEBSTER,392
31183,WHEELER,243
