FIPS,COUNTY_NAME,VALUE
31013,BOX BUTTE,54
31021,BURT,24
31025,CASS,345
31031,CHERRY,49
31033,CHEYENNE,223
31035,CLAY,71
31039,CUMING,10
31041,CUSTER,89
31043,DAKOTA,90
31045,DAWES,85
31047,DAWSON,131
31049,DEUEL,70
31053,DODGE,16
31055,DOUGLAS,26
31061,FRANKLIN,132
31067,GAGE,37
31079,HALL,38
31081,HAMILTON,136
31083,HARLAN,120
31089,HOLT,29
31093,HOWARD,15
31095,JEFFERSON,27
31101,KEITH,33
31105,KIMBALL,30
31109,LANCASTER,688
31111,LINCOLN,93
31119,MADISON,105
31121,MERRICK,42
31123,MORRILL,30
31129,NUCKOLLS,227
31141,PLATTE,27
31147,RICHARDSON,24
31151,SALINE,3
31153,SARPY,36
31155,SAUNDERS,68
31157,SCOTTS BLUFF,29
31159,SEWARD,76
31161,SHERIDAN,42
31165,SIOUX,30
31175,VALLEY,20
31177,WASHINGTON,84
31179,WAYNE,126
31181,WEBSTER,130
31185,YORK,240
