FIPS,COUNTY_NAME,VALUE
31001,ADAMS,64
31003,ANTELOPE,137
31007,BANNER,50
31015,BOYD,18
31021,BURT,5
31023,BUTLER,33
31025,CASS,117
31027,CEDAR,4516
31031,CHERRY,5
31033,CHEYENNE,46
31035,CLAY,874
31043,DAKOTA,38
31051,DIXON,13
31053,DODGE,22
31055,DOUGLAS,15
31059,FILLMORE,9
31067,GAGE,75
31077,GREELEY,6
31079,HALL,12
31081,HAMILTON,152
31089,HOLT,14
31095,JEFFERSON,108
31097,JOHNSON,22
31099,KEARNEY,152
31101,KEITH,24
31109,LANCASTER,484
31117,MCPHERSON,54
31123,MORRILL,23
31127,NEMAHA,43
31131,OTOE,51
31133,PAWNEE,12
31135,PERKINS,15
31139,PIERCE,236
31145,RED WILLOW,24
31151,SALINE,33
31153,SARPY,103
31155,SAUNDERS,177
31157,SCOTTS BLUFF,32
31159,SEWARD,127
31165,SIOUX,81
31167,STANTON,12
31169,THAYER,17
31177,WASHINGTON,78
31179,WAYNE,36
31185,YORK,8
