FIPS,COUNTY_NAME,VALUE
35001,BERNALILLO,1012
35003,CATRON,6681
35005,CHAVES,73717
35006,CIBOLA,4802
35007,COLFAX,11876
35009,CURRY,176422
35011,DE BACA,18961
35013,DONA ANA,26562
35015,EDDY,13675
35017,GRANT,7576
35019,GUADALUPE,9920
35021,HARDING,9658
35023,HIDALGO,8193
35025,LEA,38458
35027,LINCOLN,10350
35029,LUNA,10791
35031,MCKINLEY,9693
35033,MORA,8264
35035,OTERO,4944
35037,QUAY,16993
35039,RIO ARRIBA,5022
35041,ROOSEVELT,66725
35043,SANDOVAL,4727
35045,SAN JUAN,6368
35047,SAN MIGUEL,21967
35049,SANTA FE,5362
35051,SIERRA,7542
35053,SOCORRO,14856
35055,TAOS,1334
35057,TORRANCE,16268
35059,UNION,49139
35061,VALENCIA,10665
