FIPS,COUNTY_NAME,VALUE
35001,BERNALILLO,7954
35003,CATRON,572
35005,CHAVES,1459
35006,CIBOLA,1750
35007,COLFAX,811
35009,CURRY,2336
35011,DE BACA,288
35013,DONA ANA,3436
35015,EDDY,863
35019,GUADALUPE,377
35021,HARDING,80
35023,HIDALGO,154
35025,LEA,1352
35027,LINCOLN,1329
35029,LUNA,463
35031,MCKINLEY,1513
35033,MORA,1517
35035,OTERO,1327
35037,QUAY,1101
35039,RIO ARRIBA,6184
35043,SANDOVAL,2425
35045,SAN JUAN,5146
35047,SAN MIGUEL,2556
35049,SANTA FE,2474
35051,SIERRA,1341
35053,SOCORRO,782
35055,TAOS,3002
35057,TORRANCE,1067
35059,UNION,200
35061,VALENCIA,5666
