FIPS,COUNTY_NAME,VALUE
35001,BERNALILLO,667
35003,CATRON,213
35005,CHAVES,3358
35006,CIBOLA,62
35007,COLFAX,353
35009,CURRY,446
35011,DE BACA,85
35013,DONA ANA,788
35015,EDDY,213
35017,GRANT,187
35019,GUADALUPE,299
35023,HIDALGO,101
35025,LEA,580
35027,LINCOLN,226
35029,LUNA,294
35031,MCKINLEY,2011
35033,MORA,143
35035,OTERO,863
35037,QUAY,511
35039,RIO ARRIBA,773
35041,ROOSEVELT,1000
35043,SANDOVAL,259
35045,SAN JUAN,2220
35047,SAN MIGUEL,351
35049,SANTA FE,380
35051,SIERRA,207
35053,SOCORRO,426
35055,TAOS,557
35057,TORRANCE,697
35061,VALENCIA,864
