FIPS,COUNTY_NAME,VALUE
36001,ALBANY,27
36003,ALLEGANY,129
36007,BROOME,63
36009,CATTARAUGUS,397
36011,CAYUGA,179
36013,CHAUTAUQUA,61
36015,CHEMUNG,65
36017,CHENANGO,312
36019,CLINTON,32
36021,COLUMBIA,194
36025,DELAWARE,202
36027,DUTCHESS,51
36029,ERIE,280
36031,ESSEX,102
36033,FRANKLIN,104
36037,GENESEE,355
36039,GREENE,16
36043,HERKIMER,48
36045,JEFFERSON,76
36049,LEWIS,39
36051,LIVINGSTON,70
36055,MONROE,233
36057,MONTGOMERY,127
36063,NIAGARA,155
36065,ONEIDA,196
36067,ONONDAGA,398
36069,ONTARIO,159
36071,ORANGE,236
36073,ORLEANS,83
36075,OSWEGO,4
36077,OTSEGO,99
36079,PUTNAM,12
36081,QUEENS,6
36083,RENSSELAER,181
36089,ST LAWRENCE,165
36091,SARATOGA,90
36095,SCHOHARIE,33
36097,SCHUYLER,111
36099,SENECA,76
36101,STEUBEN,128
36103,SUFFOLK,52
36105,SULLIVAN,186
36107,TIOGA,26
36109,TOMPKINS,60
36113,WARREN,9
36115,WASHINGTON,128
36117,WAYNE,115
36119,WESTCHESTER,72
36123,YATES,12
