FIPS,COUNTY_NAME,VALUE
36001,ALBANY,3594
36003,ALLEGANY,16852
36007,BROOME,6427
36009,CATTARAUGUS,18881
36011,CAYUGA,49468
36013,CHAUTAUQUA,21705
36015,CHEMUNG,3008
36017,CHENANGO,13215
36019,CLINTON,15096
36021,COLUMBIA,7088
36023,CORTLAND,13561
36025,DELAWARE,16093
36027,DUTCHESS,4572
36029,ERIE,13718
36031,ESSEX,3310
36033,FRANKLIN,15637
36035,FULTON,1113
36037,GENESEE,30725
36039,GREENE,1547
36043,HERKIMER,9456
36045,JEFFERSON,23023
36049,LEWIS,31896
36051,LIVINGSTON,26012
36053,MADISON,18404
36055,MONROE,4740
36057,MONTGOMERY,12552
36063,NIAGARA,10575
36065,ONEIDA,18544
36067,ONONDAGA,20533
36069,ONTARIO,32114
36071,ORANGE,3423
36073,ORLEANS,4420
36075,OSWEGO,5230
36077,OTSEGO,11612
36079,PUTNAM,78
36083,RENSSELAER,5249
36089,ST LAWRENCE,34550
36091,SARATOGA,10781
36093,SCHENECTADY,543
36095,SCHOHARIE,7655
36097,SCHUYLER,6415
36099,SENECA,15777
36101,STEUBEN,44444
36103,SUFFOLK,162
36105,SULLIVAN,2321
36107,TIOGA,8544
36109,TOMPKINS,9994
36111,ULSTER,909
36115,WASHINGTON,25747
36117,WAYNE,8551
36119,WESTCHESTER,144
36121,WYOMING,54420
36123,YATES,16737
