FIPS,COUNTY_NAME,VALUE
36001,ALBANY,1427
36003,ALLEGANY,4147
36007,BROOME,1591
36009,CATTARAUGUS,3354
36011,CAYUGA,2692
36013,CHAUTAUQUA,3329
36015,CHEMUNG,1488
36017,CHENANGO,3022
36019,CLINTON,1723
36021,COLUMBIA,2493
36023,CORTLAND,2259
36025,DELAWARE,4541
36027,DUTCHESS,1439
36029,ERIE,1736
36031,ESSEX,1108
36033,FRANKLIN,2448
36035,FULTON,561
36037,GENESEE,1369
36039,GREENE,851
36043,HERKIMER,2738
36045,JEFFERSON,4231
36049,LEWIS,1542
36051,LIVINGSTON,2193
36053,MADISON,2702
36055,MONROE,582
36057,MONTGOMERY,1548
36063,NIAGARA,1605
36065,ONEIDA,2408
36067,ONONDAGA,1458
36069,ONTARIO,1724
36071,ORANGE,1080
36073,ORLEANS,1835
36075,OSWEGO,2146
36077,OTSEGO,3799
36079,PUTNAM,100
36083,RENSSELAER,2060
36089,ST LAWRENCE,4541
36091,SARATOGA,929
36093,SCHENECTADY,227
36095,SCHOHARIE,2552
36097,SCHUYLER,1612
36099,SENECA,2215
36101,STEUBEN,8940
36103,SUFFOLK,77
36105,SULLIVAN,943
36107,TIOGA,2028
36109,TOMPKINS,1236
36111,ULSTER,774
36115,WASHINGTON,3383
36117,WAYNE,1898
36121,WYOMING,1580
36123,YATES,1495
