FIPS,COUNTY_NAME,VALUE
36001,ALBANY,3220
36003,ALLEGANY,12467
36007,BROOME,6355
36009,CATTARAUGUS,17770
36011,CAYUGA,44959
36013,CHAUTAUQUA,22217
36015,CHEMUNG,3376
36017,CHENANGO,14259
36019,CLINTON,18277
36021,COLUMBIA,9286
36023,CORTLAND,14416
36025,DELAWARE,11443
36027,DUTCHESS,3138
36029,ERIE,13382
36031,ESSEX,2510
36033,FRANKLIN,17909
36035,FULTON,1995
36037,GENESEE,29480
36039,GREENE,1085
36043,HERKIMER,13091
36045,JEFFERSON,32213
36049,LEWIS,28669
36051,LIVINGSTON,30996
36053,MADISON,21114
36055,MONROE,2416
36057,MONTGOMERY,13540
36063,NIAGARA,10615
36065,ONEIDA,18955
36067,ONONDAGA,27011
36069,ONTARIO,28567
36071,ORANGE,4466
36073,ORLEANS,5395
36075,OSWEGO,6307
36077,OTSEGO,11569
36079,PUTNAM,100
36083,RENSSELAER,5754
36089,ST LAWRENCE,39675
36091,SARATOGA,10369
36093,SCHENECTADY,572
36095,SCHOHARIE,8084
36097,SCHUYLER,8473
36099,SENECA,9737
36101,STEUBEN,31479
36103,SUFFOLK,177
36105,SULLIVAN,2081
36107,TIOGA,7667
36109,TOMPKINS,11508
36111,ULSTER,1169
36115,WASHINGTON,26361
36117,WAYNE,9284
36119,WESTCHESTER,68
36121,WYOMING,48808
36123,YATES,14216
