FIPS,COUNTY_NAME,VALUE
36001,ALBANY,6814
36003,ALLEGANY,29319
36007,BROOME,12782
36009,CATTARAUGUS,36651
36011,CAYUGA,94427
36013,CHAUTAUQUA,43922
36015,CHEMUNG,6384
36017,CHENANGO,27474
36019,CLINTON,33373
36021,COLUMBIA,16374
36023,CORTLAND,27977
36025,DELAWARE,27536
36027,DUTCHESS,7710
36029,ERIE,27100
36031,ESSEX,5820
36033,FRANKLIN,33546
36035,FULTON,3108
36037,GENESEE,60205
36039,GREENE,2632
36043,HERKIMER,22547
36045,JEFFERSON,55236
36049,LEWIS,60565
36051,LIVINGSTON,57008
36053,MADISON,39518
36055,MONROE,7156
36057,MONTGOMERY,26092
36063,NIAGARA,21190
36065,ONEIDA,37499
36067,ONONDAGA,47544
36069,ONTARIO,60681
36071,ORANGE,7889
36073,ORLEANS,9815
36075,OSWEGO,11537
36077,OTSEGO,23181
36079,PUTNAM,178
36083,RENSSELAER,11003
36089,ST LAWRENCE,74225
36091,SARATOGA,21150
36093,SCHENECTADY,1115
36095,SCHOHARIE,15739
36097,SCHUYLER,14888
36099,SENECA,25514
36101,STEUBEN,75923
36103,SUFFOLK,339
36105,SULLIVAN,4402
36107,TIOGA,16211
36109,TOMPKINS,21502
36111,ULSTER,2078
36113,WARREN,134
36115,WASHINGTON,52108
36117,WAYNE,17835
36119,WESTCHESTER,212
36121,WYOMING,103228
36123,YATES,30953
