FIPS,COUNTY_NAME,VALUE
36001,ALBANY,870
36003,ALLEGANY,820
36009,CATTARAUGUS,113
36011,CAYUGA,1677
36013,CHAUTAUQUA,143
36023,CORTLAND,135
36025,DELAWARE,298
36027,DUTCHESS,1116
36029,ERIE,821
36033,FRANKLIN,135
36037,GENESEE,1357
36043,HERKIMER,150
36045,JEFFERSON,201
36049,LEWIS,117
36051,LIVINGSTON,172
36053,MADISON,630
36055,MONROE,315
36057,MONTGOMERY,1125
36063,NIAGARA,739
36065,ONEIDA,410
36067,ONONDAGA,387
36069,ONTARIO,1932
36073,ORLEANS,824
36075,OSWEGO,74
36089,ST LAWRENCE,115
36095,SCHOHARIE,973
36097,SCHUYLER,215
36099,SENECA,399
36101,STEUBEN,2050
36105,SULLIVAN,255
36115,WASHINGTON,112
36117,WAYNE,919
36121,WYOMING,770
36123,YATES,2988
