FIPS,COUNTY_NAME,VALUE
36001,ALBANY,198
36003,ALLEGANY,103
36007,BROOME,319
36009,CATTARAUGUS,675
36011,CAYUGA,131
36013,CHAUTAUQUA,130
36015,CHEMUNG,111
36017,CHENANGO,106
36019,CLINTON,606
36021,COLUMBIA,179
36023,CORTLAND,246
36025,DELAWARE,426
36027,DUTCHESS,934
36029,ERIE,186
36031,ESSEX,104
36033,FRANKLIN,186
36035,FULTON,36
36039,GREENE,199
36043,HERKIMER,192
36045,JEFFERSON,86
36049,LEWIS,52
36051,LIVINGSTON,301
36053,MADISON,77
36057,MONTGOMERY,418
36063,NIAGARA,200
36065,ONEIDA,525
36067,ONONDAGA,92
36069,ONTARIO,108
36071,ORANGE,279
36073,ORLEANS,109
36075,OSWEGO,189
36077,OTSEGO,378
36079,PUTNAM,215
36083,RENSSELAER,114
36089,ST LAWRENCE,373
36091,SARATOGA,187
36093,SCHENECTADY,52
36095,SCHOHARIE,462
36097,SCHUYLER,260
36099,SENECA,276
36101,STEUBEN,248
36107,TIOGA,155
36109,TOMPKINS,130
36111,ULSTER,296
36113,WARREN,136
36115,WASHINGTON,141
36117,WAYNE,87
36119,WESTCHESTER,156
36121,WYOMING,150
36123,YATES,426
