FIPS,COUNTY_NAME,VALUE
36001,ALBANY,17
36003,ALLEGANY,77
36007,BROOME,43
36009,CATTARAUGUS,76
36011,CAYUGA,31
36013,CHAUTAUQUA,130
36015,CHEMUNG,43
36017,CHENANGO,87
36019,CLINTON,95
36021,COLUMBIA,31
36023,CORTLAND,25
36025,DELAWARE,196
36027,DUTCHESS,72
36029,ERIE,161
36031,ESSEX,20
36033,FRANKLIN,16
36035,FULTON,20
36037,GENESEE,20
36039,GREENE,48
36043,HERKIMER,43
36045,JEFFERSON,92
36049,LEWIS,21
36051,LIVINGSTON,74
36053,MADISON,91
36055,MONROE,14
36057,MONTGOMERY,57
36063,NIAGARA,71
36065,ONEIDA,85
36067,ONONDAGA,108
36069,ONTARIO,63
36071,ORANGE,133
36073,ORLEANS,39
36075,OSWEGO,64
36077,OTSEGO,44
36079,PUTNAM,22
36083,RENSSELAER,38
36089,ST LAWRENCE,33
36091,SARATOGA,62
36093,SCHENECTADY,15
36095,SCHOHARIE,36
36097,SCHUYLER,31
36099,SENECA,48
36101,STEUBEN,100
36103,SUFFOLK,36
36105,SULLIVAN,29
36107,TIOGA,72
36109,TOMPKINS,55
36111,ULSTER,61
36115,WASHINGTON,233
36117,WAYNE,17
36121,WYOMING,11
