FIPS,COUNTY_NAME,VALUE
36003,ALLEGANY,140
36007,BROOME,286
36009,CATTARAUGUS,355
36011,CAYUGA,1172
36013,CHAUTAUQUA,752
36015,CHEMUNG,177
36017,CHENANGO,459
36019,CLINTON,193
36023,CORTLAND,66
36025,DELAWARE,717
36027,DUTCHESS,396
36029,ERIE,292
36037,GENESEE,165
36039,GREENE,216
36043,HERKIMER,275
36045,JEFFERSON,549
36049,LEWIS,9
36051,LIVINGSTON,310
36053,MADISON,177
36055,MONROE,98
36057,MONTGOMERY,147
36063,NIAGARA,286
36065,ONEIDA,549
36067,ONONDAGA,147
36069,ONTARIO,224
36071,ORANGE,513
36073,ORLEANS,22
36075,OSWEGO,341
36077,OTSEGO,503
36079,PUTNAM,114
36083,RENSSELAER,172
36089,ST LAWRENCE,411
36095,SCHOHARIE,366
36097,SCHUYLER,334
36099,SENECA,37
36101,STEUBEN,1089
36103,SUFFOLK,118
36105,SULLIVAN,150
36107,TIOGA,670
36109,TOMPKINS,156
36111,ULSTER,147
36115,WASHINGTON,432
36117,WAYNE,158
36121,WYOMING,808
36123,YATES,202
