FIPS,COUNTY_NAME,VALUE
36001,ALBANY,365
36003,ALLEGANY,352
36007,BROOME,192
36009,CATTARAUGUS,293
36011,CAYUGA,45
36013,CHAUTAUQUA,461
36017,CHENANGO,308
36019,CLINTON,61
36021,COLUMBIA,251
36023,CORTLAND,141
36025,DELAWARE,309
36027,DUTCHESS,538
36029,ERIE,386
36031,ESSEX,172
36033,FRANKLIN,254
36035,FULTON,351
36037,GENESEE,149
36043,HERKIMER,360
36045,JEFFERSON,116
36049,LEWIS,386
36051,LIVINGSTON,262
36053,MADISON,155
36057,MONTGOMERY,286
36063,NIAGARA,178
36065,ONEIDA,388
36067,ONONDAGA,571
36069,ONTARIO,140
36073,ORLEANS,116
36075,OSWEGO,146
36077,OTSEGO,630
36083,RENSSELAER,308
36089,ST LAWRENCE,205
36091,SARATOGA,401
36099,SENECA,118
36101,STEUBEN,354
36105,SULLIVAN,254
36107,TIOGA,189
36109,TOMPKINS,88
36111,ULSTER,393
36115,WASHINGTON,679
36123,YATES,174
