FIPS,COUNTY_NAME,VALUE
36001,ALBANY,479
36003,ALLEGANY,588
36007,BROOME,519
36009,CATTARAUGUS,652
36011,CAYUGA,1427
36013,CHAUTAUQUA,1219
36015,CHEMUNG,332
36017,CHENANGO,803
36019,CLINTON,254
36021,COLUMBIA,630
36023,CORTLAND,225
36025,DELAWARE,1070
36027,DUTCHESS,1006
36029,ERIE,718
36031,ESSEX,226
36033,FRANKLIN,327
36035,FULTON,409
36037,GENESEE,338
36039,GREENE,354
36043,HERKIMER,673
36045,JEFFERSON,665
36049,LEWIS,403
36051,LIVINGSTON,588
36053,MADISON,412
36055,MONROE,138
36057,MONTGOMERY,486
36063,NIAGARA,534
36065,ONEIDA,957
36067,ONONDAGA,746
36069,ONTARIO,367
36071,ORANGE,834
36073,ORLEANS,150
36075,OSWEGO,590
36077,OTSEGO,1220
36079,PUTNAM,162
36083,RENSSELAER,480
36089,ST LAWRENCE,637
36091,SARATOGA,455
36093,SCHENECTADY,110
36095,SCHOHARIE,667
36097,SCHUYLER,418
36099,SENECA,168
36101,STEUBEN,1506
36103,SUFFOLK,209
36105,SULLIVAN,424
36107,TIOGA,868
36109,TOMPKINS,323
36111,ULSTER,566
36113,WARREN,299
36115,WASHINGTON,1121
36117,WAYNE,277
36121,WYOMING,1054
36123,YATES,376
